Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,PSH,PSD,PSA,HTCS,CS,HS,HST,AS,AST,HY,AY,HR,AR,HCO,ACO,HF,AF
E0,05/08/2022,Crystal Palace,Arsenal,0,2,A,0,1,A,4.5,3.65,1.89,0-1,0-2,10,2,10,2,1,2,0,0,3,5,16,11
E0,06/08/2022,Fulham,Liverpool,2,2,D,1,0,H,11.2,6.22,1.28,1-0,2-2,9,3,11,4,2,0,0,0,4,4,7,9
E0,06/08/2022,Bournemouth,Aston Villa,2,0,H,1,0,H,3.93,3.58,2.04,1-0,2-0,7,3,15,2,3,3,0,0,5,5,18,16
E0,06/08/2022,Leeds,Wolves,2,1,H,1,1,D,2.39,3.33,3.3,1-1,2-1,12,4,15,6,2,0,0,0,6,4,13,9
E0,06/08/2022,Newcastle,Nottm Forest,2,0,H,0,0,D,1.71,3.74,5.83,0-0,2-0,23,10,5,0,0,3,0,0,11,1,9,14
E0,06/08/2022,Tottenham,Southampton,4,1,H,2,1,H,1.37,5.39,9.11,2-1,4-1,18,8,10,2,3,0,0,0,10,2,11,6
E0,06/08/2022,Everton,Chelsea,0,1,A,0,1,A,6.04,4.06,1.63,0-1,0-1,8,4,15,6,3,2,0,0,4,16,14,11
E0,07/08/2022,Leicester,Brentford,2,2,D,1,0,H,2.07,3.69,3.74,1-0,2-2,14,5,8,3,0,0,0,0,5,6,6,5
E0,07/08/2022,Man United,Brighton,1,2,A,0,2,A,1.65,4.14,5.68,0-2,1-2,17,5,15,4,4,1,0,0,6,2,7,12
E0,07/08/2022,West Ham,Man City,0,2,A,0,1,A,8.58,5.48,1.38,0-1,0-2,6,1,14,2,0,1,0,0,1,4,8,4
E0,13/08/2022,Aston Villa,Everton,2,1,H,1,0,H,1.83,3.55,5.12,1-0,2-1,12,4,15,4,4,1,0,0,5,8,9,7
E0,13/08/2022,Arsenal,Leicester,4,2,H,2,0,H,1.58,4.34,6.22,2-0,4-2,19,7,6,2,1,1,0,0,6,2,15,9
E0,13/08/2022,Brighton,Newcastle,0,0,D,0,0,D,2.48,3.24,3.22,0-0,0-0,13,7,4,1,2,3,0,0,7,3,8,6
E0,13/08/2022,Man City,Bournemouth,4,0,H,3,0,H,1.07,13.82,41,3-0,4-0,19,7,3,1,0,3,0,0,11,1,9,9
E0,13/08/2022,Southampton,Leeds,2,2,D,0,0,D,2.34,3.55,3.18,0-0,2-2,14,4,13,5,1,3,0,0,2,5,10,12
E0,13/08/2022,Wolves,Fulham,0,0,D,0,0,D,2.44,3.24,3.29,0-0,0-0,7,1,9,3,3,3,0,0,5,3,7,14
E0,13/08/2022,Brentford,Man United,4,0,H,4,0,H,3.82,3.64,2.06,4-0,4-0,13,7,15,4,0,4,0,0,8,2,6,15
E0,14/08/2022,Nottm Forest,West Ham,1,0,H,1,0,H,4.28,3.72,1.92,1-0,1-0,13,6,19,5,4,1,0,0,6,7,10,11
E0,14/08/2022,Chelsea,Tottenham,2,2,D,1,0,H,2.28,3.52,3.35,1-0,2-2,16,3,10,5,3,0,0,0,8,5,9,9
E0,15/08/2022,Liverpool,Crystal Palace,1,1,D,0,1,A,1.2,7.09,18.57,0-1,1-1,24,4,7,3,2,4,1,0,4,2,7,8
E0,20/08/2022,Tottenham,Wolves,1,0,H,0,0,D,1.43,4.94,7.95,0-0,1-0,11,4,20,3,2,2,0,0,8,6,10,8
E0,20/08/2022,Crystal Palace,Aston Villa,3,1,H,1,1,D,2.58,3.19,3.12,1-1,3-1,17,9,13,5,2,1,0,0,4,2,16,14
E0,20/08/2022,Everton,Nottm Forest,1,1,D,0,0,D,2,3.45,4.27,0-0,1-1,19,8,14,5,3,2,0,0,6,2,6,9
E0,20/08/2022,Fulham,Brentford,3,2,H,2,1,H,2.52,3.53,2.93,2-1,3-2,18,9,13,5,3,2,0,0,6,3,13,7
E0,20/08/2022,Leicester,Southampton,1,2,A,0,0,D,1.86,4.09,4.12,0-0,1-2,6,1,9,3,2,3,0,0,2,5,11,15
E0,20/08/2022,Bournemouth,Arsenal,0,3,A,0,2,A,7.55,4.8,1.46,0-2,0-3,6,1,14,6,2,1,0,0,3,4,12,10
E0,21/08/2022,Leeds,Chelsea,3,0,H,2,0,H,6.23,4.6,1.54,2-0,3-0,12,6,14,3,0,1,0,1,4,6,16,15
E0,21/08/2022,West Ham,Brighton,0,2,A,0,1,A,2.34,3.52,3.22,0-1,0-2,13,3,11,2,2,0,0,0,5,4,10,7
E0,21/08/2022,Newcastle,Man City,3,3,D,2,1,H,9.43,5.22,1.37,2-1,3-3,12,6,21,10,4,2,0,0,5,5,14,7
E0,22/08/2022,Man United,Liverpool,2,1,H,1,0,H,5.39,4.35,1.64,1-0,2-1,12,4,17,5,3,1,0,0,6,8,11,7
E0,27/08/2022,Southampton,Man United,0,1,A,0,0,D,4.31,4,1.85,0-0,0-1,17,5,11,6,0,3,0,0,5,3,4,14
E0,27/08/2022,Brentford,Everton,1,1,D,0,1,A,2.1,3.49,3.84,0-1,1-1,19,5,14,7,2,2,0,0,8,5,8,8
E0,27/08/2022,Brighton,Leeds,1,0,H,0,0,D,1.93,3.72,4.24,0-0,1-0,13,4,10,2,2,3,0,0,5,3,10,14
E0,27/08/2022,Chelsea,Leicester,2,1,H,0,0,D,1.45,4.86,7.66,0-0,2-1,7,3,17,5,1,2,1,0,3,11,10,7
E0,27/08/2022,Liverpool,Bournemouth,9,0,H,5,0,H,1.13,10.48,23.11,5-0,9-0,19,12,5,2,0,1,0,0,8,1,6,5
