"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"1410","E3",2024-02-03,"Barrow","Milton Keynes Dons",1,0,"H",0,0,"D",2.44,3.31,3.12,"0-0","1-0",15,6,8,4,3,2,0,0,6,8,10,14,1,14,24,"6-8","N","N","N",5,0,1,50,600,50,700,14,700
"1427","E3",2024-02-10,"Milton Keynes Dons","Accrington",2,1,"H",0,1,"A",1.85,3.94,4.17,"0-1","2-1",13,7,7,1,1,6,0,0,5,3,7,22,3,8,29,"5-3","Y","Y","N",7,0,3,70,600,210,560,24,1680
"1434","E3",2024-02-13,"Bradford","Milton Keynes Dons",4,0,"H",2,0,"H",2.35,3.45,3.16,"2-0","4-0",11,7,16,3,5,1,0,0,1,6,16,8,4,7,24,"1-6","Y","Y","Y",6,0,4,60,500,240,420,28,1680
"1451","E3",2024-02-17,"Swindon","Milton Keynes Dons",1,2,"A",0,2,"A",3.05,3.71,2.3,"0-2","1-2",12,3,9,3,2,1,0,0,5,1,13,9,3,6,22,"5-1","Y","Y","N",3,0,3,30,200,90,180,18,540
"1457","E3",2024-02-20,"Milton Keynes Dons","Wrexham",1,1,"D",1,1,"D",2.33,3.6,3.06,"1-1","1-1",11,5,18,5,3,1,1,1,5,6,5,12,2,11,17,"5-6","Y","N","N",4,2,2,90,1925,180,990,22,1980
"1465","E3",2024-02-24,"Milton Keynes Dons","Newport County",3,0,"H",3,0,"H",1.73,3.99,4.82,"3-0","3-0",20,8,4,2,2,3,0,0,9,5,9,11,3,14,20,"9-5","Y","Y","N",5,0,3,50,600,150,700,42,2100
"1394","E3",2024-01-23,"Bradford","Salford",1,1,"D",1,1,"D",1.7,3.99,5.04,"1-1","1-1",7,4,12,4,0,1,0,0,3,3,7,14,2,6,21,"3-3","Y","N","N",1,0,2,10,0,20,60,12,120
"1405","E3",2024-01-27,"Swindon","Bradford",2,0,"H",2,0,"H",3.35,3.62,2.18,"2-0","2-0",5,2,11,3,2,2,0,0,3,4,10,17,2,7,27,"3-4","Y","N","N",4,0,2,40,400,80,280,14,560
"1411","E3",2024-02-03,"Bradford","AFC Wimbledon",0,0,"D",0,0,"D",2.51,3.33,2.99,"0-0","0-0",11,3,6,1,3,4,0,0,4,3,11,17,0,7,28,"4-3","N","N","N",7,0,0,70,1200,0,490,0,0
"1431","E3",2024-02-10,"Wrexham","Bradford",0,1,"A",0,0,"D",1.79,3.86,4.59,"0-0","0-1",17,5,10,8,0,3,0,0,11,3,5,19,1,14,24,"11-3","N","N","N",3,0,1,30,0,30,420,14,420
"14341","E3",2024-02-13,"Bradford","Milton Keynes Dons",4,0,"H",2,0,"H",2.35,3.45,3.16,"2-0","4-0",11,7,16,3,5,1,0,0,1,6,16,8,4,7,24,"1-6","Y","Y","Y",6,0,4,60,500,240,420,28,1680
"1444","E3",2024-02-17,"Bradford","Sutton",1,0,"H",0,0,"D",1.68,3.91,5.48,"0-0","1-0",11,7,15,3,1,2,0,0,1,6,11,18,1,7,29,"1-6","N","N","N",3,0,1,30,200,30,210,7,210
"13","E3",2024-02-17,"Bradford","Sutton",1,0,"H",0,0,"D",1.68,3.91,5.48,"0-0","1-0",11,7,15,3,1,2,0,0,1,6,11,18,1,7,29,"1-6","N","N","N",3,0,2.16666666666667,49.1666666666667,560.416666666667,110,452.5,18.5833333333333,972.5
