"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","TG","TC","COSC","OV15","OV25","OV35","TY","TR","matchid","ligueone_goalmins","n","ligueone_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"3","F1",2022-08-06,"Clermont","Paris SG",0,5,"A",0,3,"A",9.88,6.81,1.28,"0-3","0-5",7,1,18,12,2,1,0,0,0,6,5,6,"0-6","Y","Y","Y",3,0,"Clermont-Paris SG",239,5,77,30,200,150,180,2310,30,385,462,1434,900
"13","F1",2022-08-13,"Paris SG","Montpellier",5,2,"H",2,0,"H",1.1,11.52,25.32,"2-0","5-2",20,10,7,4,2,1,0,0,11,0,7,11,"11-0","Y","Y","Y",3,0,"Paris SG-Montpellier",437,7,250,30,200,210,330,7500,77,1750,2750,4807,2310
"29","F1",2022-08-21,"Lille","Paris SG",1,7,"A",0,4,"A",6.49,4.8,1.51,"0-4","1-7",16,10,16,9,2,1,0,0,2,4,8,6,"2-4","Y","Y","Y",3,0,"Lille-Paris SG",369,8,80,30,200,240,180,2400,48,640,480,2214,1440
"39","F1",2022-08-28,"Paris SG","Monaco",1,1,"D",0,1,"A",1.2,8.35,12.77,"0-1","1-1",18,5,4,3,4,4,0,0,4,3,2,7,"4-3","Y","N","N",8,0,"Paris SG-Monaco",90,2,41,80,1600,160,560,3280,14,82,287,630,1120
"49","F1",2022-08-31,"Toulouse","Paris SG",0,3,"A",0,1,"A",11.03,7.21,1.25,"0-1","0-3",14,7,20,13,1,0,0,0,3,9,3,12,"3-9","Y","Y","N",1,0,"Toulouse-Paris SG",177,3,0,10,0,30,120,0,36,0,0,2124,360
"52","F1",2022-09-03,"Nantes","Paris SG",0,3,"A",0,1,"A",9.2,6.2,1.31,"0-1","0-3",10,1,19,7,1,4,1,0,1,7,3,8,"1-7","Y","Y","N",5,1,"Nantes-Paris SG",140,3,39,75,1400,225,600,2925,24,117,312,1120,1800
"62","F1",2022-09-10,"Paris SG","Brest",1,0,"H",1,0,"H",1.09,13.43,27.31,"1-0","1-0",13,4,6,3,4,2,0,0,3,5,1,8,"3-5","N","N","N",6,0,"Paris SG-Brest",30,1,10,60,800,60,480,600,8,10,80,240,480
"80","F1",2022-09-18,"Lyon","Paris SG",0,1,"A",0,1,"A",4.53,4.9,1.67,"0-1","0-1",12,3,15,8,0,2,0,0,3,7,1,10,"3-7","N","N","N",2,0,"Lyon-Paris SG",5,1,30,20,0,20,200,600,10,30,300,50,200
"83","F1",2022-10-01,"Paris SG","Nice",2,1,"H",1,0,"H",1.18,8.41,14.98,"1-0","2-1",12,4,4,1,1,1,0,0,4,0,3,4,"4-0","Y","Y","N",2,0,"Paris SG-Nice",159,3,61,20,100,60,80,1220,12,183,244,636,240
"93","F1",2022-10-08,"Reims","Paris SG",0,0,"D",0,0,"D",7.54,5.45,1.41,"0-0","0-0",24,4,11,3,3,5,0,1,7,3,0,10,"7-3","N","N","N",8,1,"Reims-Paris SG",0,0,0,105,2250,0,1050,0,0,0,0,0,0
