"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","ligueone_goalmins","n","ligueone_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"8","F1","2022-08-07","Montpellier","Troyes",3,2,"H",2,2,"D",2.21,3.53,3.49,"2-2","3-2",17,6,15,10,1,0,0,0,3,6,13,10,5,9,23,"3-6","Y","Y","Y",1,0,"Montpellier-Troyes",128,5,0,10,0,50,90,0,45,0,0,1152,450
"13","F1","2022-08-13","Paris SG","Montpellier",5,2,"H",2,0,"H",1.1,11.52,25.32,"2-0","5-2",20,10,7,4,2,1,0,0,11,0,15,18,7,11,33,"11-0","Y","Y","Y",3,0,"Paris SG-Montpellier",437,7,0,30,200,210,330,0,77,0,0,4807,2310
"26","F1","2022-08-21","Montpellier","Auxerre",1,2,"A",1,0,"H",2.11,3.75,3.53,"1-0","1-2",13,7,7,2,1,3,2,2,7,2,10,13,3,9,23,"7-2","Y","Y","N",4,4,"Montpellier-Auxerre",184,3,0,140,4800,420,1260,0,27,0,0,1656,3780
"34","F1","2022-08-28","Brest","Montpellier",0,7,"A",0,5,"A",1.94,3.65,4.26,"0-5","0-7",6,0,14,8,0,2,1,0,5,4,15,16,7,9,31,"5-4","Y","Y","Y",2,1,"Brest-Montpellier",231,7,0,45,500,315,405,0,63,0,0,2079,2835
"43","F1","2022-08-31","Montpellier","Ajaccio",2,0,"H",1,0,"H",2.15,3.41,3.79,"1-0","2-0",9,4,15,0,2,4,1,1,3,8,9,17,2,11,26,"3-8","Y","N","N",6,2,"Montpellier-Ajaccio",105,2,0,110,2925,220,1210,0,22,0,0,1155,2420
"53","F1","2022-09-04","Montpellier","Lille",1,3,"A",1,1,"D",3.4,3.78,2.16,"1-1","1-3",4,2,26,7,0,4,1,0,1,9,8,11,4,10,19,"1-9","Y","Y","Y",4,1,"Montpellier-Lille",208,4,0,65,1000,260,650,0,40,0,0,2080,2600
"66","F1","2022-09-11","Angers","Montpellier",2,1,"H",1,1,"D",2.44,3.8,2.86,"1-1","2-1",11,5,7,2,2,4,0,0,2,5,15,12,3,7,27,"2-5","Y","Y","N",6,0,"Angers-Montpellier",85,3,0,60,800,180,420,0,21,0,0,595,1260
"72","F1","2022-09-17","Montpellier","Strasbourg",2,1,"H",1,0,"H",2.55,3.61,2.84,"1-0","2-1",10,4,8,2,4,4,0,0,8,6,11,20,3,14,31,"8-6","Y","Y","N",8,0,"Montpellier-Strasbourg",192,3,0,80,1600,240,1120,0,42,0,0,2688,3360
"87","F1","2022-10-02","Toulouse","Montpellier",4,2,"H",3,1,"H",1.93,3.96,3.98,"3-1","4-2",12,6,23,6,5,4,1,0,3,12,13,6,6,15,19,"3-12","Y","Y","Y",9,1,"Toulouse-Montpellier",196,6,0,115,3000,690,1725,0,90,0,0,2940,10350
"94","F1","2022-10-09","Montpellier","Monaco",0,2,"A",0,1,"A",3.74,4.21,1.93,"0-1","0-2",11,1,11,7,2,3,0,0,7,2,13,16,2,9,29,"7-2","Y","N","N",5,0,"Montpellier-Monaco",125,2,0,50,600,100,450,0,18,0,0,1125,900
"103","F1","2022-10-15","Lens","Montpellier",1,0,"H",0,0,"D",1.43,5.11,7.78,"0-0","1-0",17,5,8,1,2,2,0,0,4,5,12,10,1,9,22,"4-5","N","N","N",4,0,"Lens-Montpellier",67,1,0,40,400,40,360,0,9,0,0,603,360
"112","F1","2022-10-22","Montpellier","Lyon",1,2,"A",0,1,"A",4.07,4.13,1.86,"0-1","1-2",10,4,21,10,2,2,1,1,4,7,9,18,3,11,27,"4-7","Y","Y","N",4,2,"Montpellier-Lyon",193,3,0,90,2025,270,990,0,33,0,0,2123,2970
"128","F1","2022-10-30","Rennes","Montpellier",3,0,"H",2,0,"H",1.35,5.66,9.18,"2-0","3-0",14,3,8,3,1,2,0,0,3,4,15,12,3,7,27,"3-4","Y","Y","N",3,0,"Rennes-Montpellier",123,3,0,30,200,90,210,0,21,0,0,861,630
"135","F1","2022-11-06","Clermont","Montpellier",1,1,"D",0,1,"A",2.46,3.53,3.01,"0-1","1-1",16,7,7,3,1,2,0,0,5,1,14,17,2,6,31,"5-1","Y","N","N",3,0,"Clermont-Montpellier",72,2,0,30,200,60,180,0,12,0,0,432,360
"147","F1","2022-11-13","Montpellier","Reims",1,1,"D",0,0,"D",2.59,3.59,2.8,"0-0","1-1",16,8,17,4,2,2,0,0,11,7,15,15,2,18,30,"11-7","Y","N","N",4,0,"Montpellier-Reims",177,2,0,40,400,80,720,0,36,0,0,3186,1440
