"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","TG","TC","COSC","OV15","OV25","OV35","TY","TR","matchid","ligueone_goalmins","n","ligueone_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"2","F1",2022-08-06,"Strasbourg","Monaco",1,2,"A",0,1,"A",2.64,3.4,2.86,"0-1","1-2",11,7,24,11,0,2,0,0,3,7,3,10,"3-7","Y","Y","N",2,0,"Strasbourg-Monaco",161,3,54,20,0,60,200,1080,30,162,540,1610,600
"12","F1",2022-08-13,"Monaco","Rennes",1,1,"D",0,0,"D",2.21,3.68,3.36,"0-0","1-1",12,4,24,8,0,3,1,0,1,6,2,7,"1-6","Y","N","N",3,1,"Monaco-Rennes",131,2,60,55,750,110,385,3300,14,120,420,917,770
"21","F1",2022-08-20,"Monaco","Lens",1,4,"A",1,2,"A",1.78,4.1,4.6,"1-2","1-4",12,5,14,6,4,0,1,0,3,5,5,8,"3-5","Y","Y","Y",4,1,"Monaco-Lens",219,5,49,65,0,325,520,3185,40,245,392,1752,2600
"39","F1",2022-08-28,"Paris SG","Monaco",1,1,"D",0,1,"A",1.2,8.35,12.77,"0-1","1-1",18,5,4,3,4,4,0,0,4,3,2,7,"4-3","Y","N","N",8,0,"Paris SG-Monaco",90,2,41,80,1600,160,560,3280,14,82,287,630,1120
"42","F1",2022-08-31,"Monaco","Troyes",2,4,"A",1,2,"A",1.37,5.56,8.53,"1-2","2-4",8,6,19,11,3,1,1,0,8,6,6,14,"8-6","Y","Y","Y",4,1,"Monaco-Troyes",266,6,103,65,550,390,910,6695,84,618,1442,3724,5460
"59","F1",2022-09-04,"Nice","Monaco",0,1,"A",0,0,"D",2.82,3.73,2.51,"0-0","0-1",12,5,14,2,2,1,0,0,3,6,1,9,"3-6","N","N","N",3,0,"Nice-Monaco",69,1,36,30,200,30,270,1080,9,36,324,621,270
"70","F1",2022-09-11,"Monaco","Lyon",2,1,"H",0,0,"D",2.55,3.72,2.77,"0-0","2-1",11,4,20,6,1,2,0,0,1,6,3,7,"1-6","Y","Y","N",3,0,"Monaco-Lyon",199,3,15,30,200,90,210,450,21,45,105,1393,630
"74","F1",2022-09-18,"Reims","Monaco",0,3,"A",0,0,"D",3.21,3.66,2.29,"0-0","0-3",9,2,20,11,3,3,1,0,5,4,3,9,"5-4","Y","Y","N",6,1,"Reims-Monaco",224,3,0,85,1650,255,765,0,27,0,0,2016,2295
"89","F1",2022-10-02,"Monaco","Nantes",4,1,"H",3,0,"H",1.58,4.65,5.59,"3-0","4-1",10,6,7,2,0,1,0,0,7,7,5,14,"7-7","Y","Y","Y",1,0,"Monaco-Nantes",177,5,78,10,0,50,140,780,70,390,1092,2478,700
"94","F1",2022-10-09,"Montpellier","Monaco",0,2,"A",0,1,"A",3.74,4.21,1.93,"0-1","0-2",11,1,11,7,2,3,0,0,7,2,2,9,"7-2","Y","N","N",5,0,"Montpellier-Monaco",125,2,45,50,600,100,450,2250,18,90,405,1125,900
"109","F1",2022-10-16,"Monaco","Clermont",1,1,"D",1,0,"H",1.38,4.91,10.25,"1-0","1-1",6,4,21,7,2,4,1,0,3,4,2,7,"3-4","Y","N","N",6,1,"Monaco-Clermont",84,2,45,85,1800,170,595,3825,14,90,315,588,1190
"120","F1",2022-10-23,"Lille","Monaco",4,3,"H",2,2,"D",2.47,3.74,2.86,"2-2","4-3",20,7,9,6,1,2,0,0,6,6,7,12,"6-6","Y","Y","Y",3,0,"Lille-Monaco",325,7,59,30,200,210,360,1770,84,413,708,3900,2520
"126","F1",2022-10-30,"Monaco","Angers",2,0,"H",0,0,"D",1.39,5.53,7.84,"0-0","2-0",8,5,8,4,3,3,0,0,7,0,2,7,"7-0","Y","N","N",6,0,"Monaco-Angers",124,2,53,60,900,120,420,3180,14,106,371,868,840
"138","F1",2022-11-06,"Toulouse","Monaco",0,2,"A",0,0,"D",3.22,3.92,2.19,"0-0","0-2",13,5,24,10,0,1,0,0,7,6,2,13,"7-6","Y","N","N",1,0,"Toulouse-Monaco",106,2,0,10,0,20,130,0,26,0,0,1378,260
"150","F1",2022-11-13,"Monaco","Marseille",2,3,"A",1,1,"D",2.38,3.74,2.99,"1-1","2-3",11,6,11,3,3,1,0,0,5,4,5,9,"5-4","Y","Y","Y",4,0,"Monaco-Marseille",325,5,161,40,300,200,360,6440,45,805,1449,2925,1800
"153","F1",2022-12-28,"Auxerre","Monaco",2,3,"A",1,1,"D",4.52,4.02,1.81,"1-1","2-3",11,6,6,3,1,0,0,0,1,3,5,4,"1-3","Y","Y","Y",1,0,"Auxerre-Monaco",286,5,128,10,0,50,40,1280,20,640,512,1144,200
"162","F1",2023-01-01,"Monaco","Brest",1,0,"H",0,0,"D",1.56,4.66,5.95,"0-0","1-0",17,5,13,6,3,4,0,0,7,5,1,12,"7-5","N","N","N",7,0,"Monaco-Brest",54,1,17,70,1200,70,840,1190,12,17,204,648,840
"176","F1",2023-01-11,"Lorient","Monaco",2,2,"D",0,0,"D",3.96,3.9,1.94,"0-0","2-2",8,6,16,4,1,1,0,0,3,4,4,7,"3-4","Y","Y","Y",2,0,"Lorient-Monaco",303,4,70,20,100,80,140,1400,28,280,490,2121,560
"189","F1",2023-01-15,"Monaco","Ajaccio",7,1,"H",5,1,"H",1.43,4.89,8.08,"5-1","7-1",11,8,5,2,1,2,0,0,3,3,8,6,"3-3","Y","Y","Y",3,0,"Monaco-Ajaccio",255,8,227,30,200,240,180,6810,48,1816,1362,1530,1440
"193","F1",2023-01-28,"Marseille","Monaco",1,1,"D",0,1,"A",2.12,3.79,3.49,"0-1","1-1",22,6,11,4,2,2,0,0,6,3,2,9,"6-3","Y","N","N",4,0,"Marseille-Monaco",64,2,97,40,400,80,360,3880,18,194,873,576,720
"208","F1",2023-02-01,"Monaco","Auxerre",3,2,"H",2,0,"H",1.35,5.69,9.21,"2-0","3-2",16,6,11,3,0,0,0,0,5,4,5,9,"5-4","Y","Y","Y",0,0,"Monaco-Auxerre",275,5,118,0,0,0,0,0,45,590,1062,2475,0
"214","F1",2023-02-05,"Clermont","Monaco",0,2,"A",0,2,"A",4.2,3.84,1.91,"0-2","0-2",8,3,14,5,1,2,0,0,2,4,2,6,"2-4","Y","N","N",3,0,"Clermont-Monaco",16,2,39,30,200,60,180,1170,12,78,234,96,360
"3","F1",2022-08-06,"Clermont","Paris SG",0,5,"A",0,3,"A",9.88,6.81,1.28,"0-3","0-5",7,1,18,12,2,1,0,0,0,6,5,6,"0-6","Y","Y","Y",3,0,"Clermont-Paris SG",239,5,77,30,200,150,180,2310,30,385,462,1434,900
"13","F1",2022-08-13,"Paris SG","Montpellier",5,2,"H",2,0,"H",1.1,11.52,25.32,"2-0","5-2",20,10,7,4,2,1,0,0,11,0,7,11,"11-0","Y","Y","Y",3,0,"Paris SG-Montpellier",437,7,250,30,200,210,330,7500,77,1750,2750,4807,2310
"29","F1",2022-08-21,"Lille","Paris SG",1,7,"A",0,4,"A",6.49,4.8,1.51,"0-4","1-7",16,10,16,9,2,1,0,0,2,4,8,6,"2-4","Y","Y","Y",3,0,"Lille-Paris SG",369,8,80,30,200,240,180,2400,48,640,480,2214,1440
"391","F1",2022-08-28,"Paris SG","Monaco",1,1,"D",0,1,"A",1.2,8.35,12.77,"0-1","1-1",18,5,4,3,4,4,0,0,4,3,2,7,"4-3","Y","N","N",8,0,"Paris SG-Monaco",90,2,41,80,1600,160,560,3280,14,82,287,630,1120
"49","F1",2022-08-31,"Toulouse","Paris SG",0,3,"A",0,1,"A",11.03,7.21,1.25,"0-1","0-3",14,7,20,13,1,0,0,0,3,9,3,12,"3-9","Y","Y","N",1,0,"Toulouse-Paris SG",177,3,0,10,0,30,120,0,36,0,0,2124,360
"52","F1",2022-09-03,"Nantes","Paris SG",0,3,"A",0,1,"A",9.2,6.2,1.31,"0-1","0-3",10,1,19,7,1,4,1,0,1,7,3,8,"1-7","Y","Y","N",5,1,"Nantes-Paris SG",140,3,39,75,1400,225,600,2925,24,117,312,1120,1800
"62","F1",2022-09-10,"Paris SG","Brest",1,0,"H",1,0,"H",1.09,13.43,27.31,"1-0","1-0",13,4,6,3,4,2,0,0,3,5,1,8,"3-5","N","N","N",6,0,"Paris SG-Brest",30,1,10,60,800,60,480,600,8,10,80,240,480
"80","F1",2022-09-18,"Lyon","Paris SG",0,1,"A",0,1,"A",4.53,4.9,1.67,"0-1","0-1",12,3,15,8,0,2,0,0,3,7,1,10,"3-7","N","N","N",2,0,"Lyon-Paris SG",5,1,30,20,0,20,200,600,10,30,300,50,200
"83","F1",2022-10-01,"Paris SG","Nice",2,1,"H",1,0,"H",1.18,8.41,14.98,"1-0","2-1",12,4,4,1,1,1,0,0,4,0,3,4,"4-0","Y","Y","N",2,0,"Paris SG-Nice",159,3,61,20,100,60,80,1220,12,183,244,636,240
