"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","Referee","n","Home_xG","Away_xG","Total_Goalmins","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","TGMXcorners","GoalsXcornerXbookings","FH_HYC","FH_AYC","FH_HRC","FH_ARC","SH_HYC","SH_AYC","SH_HRC","SH_ARC","FH_HomeBookings","FH_AwayBookings","FH_TotalBookings","SH_HomeBookings","SH_AwayBookings","SH_TotalBookings","MultiBookings","Home_YCmins","Home_RCmins","Away_YCmins","Away_RCmins","Home_TotalCardmins","Away_TotalCardmins","match_TotalCardmins","Home_first_YCTime","Away_first_YCTime","match_First_YCTime","Penalty","MatchPerfomance"
"1","B1",2024-04-28,"Genk","Club Brugge",0,3,"A",0,1,"A",2.95,3.53,2.34,"0-1","0-3",14,3,11,4,1,2,0,0,6,3,8,10,3,9,18,"6-3","Y","Y","N",3,0,"2024-04-28-Genk-Club Brugge","Lawrence Visser",3,0.7,1,176,30,200,90,270,27,1584,810,1,0,0,0,0,2,0,0,10,0,10,0,20,20,200,22,0,151,0,22,151,173,22,61,22,0,87
"2","B1",2024-05-04,"Cercle Brugge","Genk",4,1,"H",3,1,"H",2.55,3.51,2.76,"3-1","4-1",16,6,13,6,1,3,0,0,4,1,16,16,5,5,32,"4-1","Y","Y","Y",4,0,"2024-05-04-Cercle Brugge-Genk","Nicolas Laforge",5,2.6,2.3,157,40,300,200,200,25,785,1000,1,1,0,0,0,2,0,0,10,10,20,0,20,20,400,16,0,150,0,16,150,166,16,30,16,0,110
"3","B1",2024-05-11,"Anderlecht","Genk",2,1,"H",1,0,"H",2.06,3.6,3.61,"1-0","2-1",17,4,19,3,1,2,0,0,4,3,5,14,3,7,19,"4-3","Y","Y","N",3,0,"2024-05-11-Anderlecht-Genk","Lawrence Visser",3,1.1,1.4,189,30,200,90,210,21,1323,630,1,1,0,0,0,1,0,0,10,10,20,0,10,10,200,42,0,102,0,42,102,144,42,47,42,0,81
"4","B1",2024-05-20,"Genk","Antwerp",1,0,"H",1,0,"H",1.83,3.79,4.1,"1-0","1-0",9,3,16,6,3,1,0,0,2,8,10,13,1,10,23,"2-8","N","N","N",4,0,"2024-05-20-Genk-Antwerp","Nicolas Laforge",1,1.2,1.6,28,40,300,40,400,10,280,400,0,0,0,0,3,1,0,0,0,0,0,30,10,40,0,232,0,96,0,232,96,328,65,96,65,0,65
"5","B1",2024-05-26,"St. Gilloise","Genk",2,0,"H",1,0,"H",1.67,4.15,4.66,"1-0","2-0",21,8,9,2,3,1,0,1,10,4,18,10,2,14,28,"10-4","Y","N","N",4,1,"2024-05-26-St. Gilloise-Genk","Lothar D'Hondt",2,1.9,0.4,117,65,1050,130,910,28,1638,1820,1,0,0,0,2,1,0,1,10,0,10,20,35,55,550,196,0,63,156,196,219,415,42,63,42,1,117
"6","B1",2024-06-02,"Genk","Gent",0,1,"A",0,0,"D",2.37,3.54,2.89,"0-0","0-1",10,4,13,5,5,2,0,0,4,2,20,12,1,6,32,"4-2","N","N","N",7,0,"2024-06-02-Genk-Gent","Nicolas Laforge",1,0.5,0.7,60,70,1000,70,420,6,360,420,2,1,0,0,3,1,0,0,20,10,30,30,10,40,1200,304,0,106,0,304,106,410,17,21,17,0,68
"7","B1",2024-04-23,"St Truiden","Gent",0,2,"A",0,1,"A",3.86,3.81,1.93,"0-1","0-2",17,5,15,5,2,1,0,0,5,4,12,8,2,9,20,"5-4","Y","N","N",3,0,"2024-04-23-St Truiden-Gent","Simon Bourdeaud'hui",2,2.8,1.7,141,30,200,60,270,18,1269,540,0,1,0,0,2,0,0,0,0,10,10,20,0,20,200,174,0,9,0,174,9,183,84,9,9,1,82
"8","B1",2024-04-27,"Standard","St Truiden",1,1,"D",0,1,"A",2.25,3.49,3.25,"0-1","1-1",19,6,11,6,0,2,0,0,5,4,6,10,2,9,16,"5-4","Y","N","N",2,0,"2024-04-27-Standard-St Truiden","Jan Boterberg",2,2.3,1.8,76,20,0,40,180,18,684,360,0,2,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,60,0,0,60,60,0,23,0,0,67
"9","B1",2024-05-03,"Westerlo","St Truiden",2,2,"D",1,1,"D",2.39,3.8,2.79,"1-1","2-2",19,6,8,4,2,2,0,0,6,4,4,11,4,10,15,"6-4","Y","Y","Y",4,0,"2024-05-03-Westerlo-St Truiden","Simon Bourdeaud'hui",4,2.1,1.9,156,40,400,160,400,40,1560,1600,1,1,0,0,1,1,0,0,10,10,20,10,10,20,400,110,0,85,0,110,85,195,42,21,21,0,110
"10","B1",2024-05-12,"St Truiden","Mechelen",2,1,"H",2,1,"H",2.34,3.69,2.84,"2-1","2-1",11,5,7,3,1,0,0,0,2,1,9,12,3,3,21,"2-1","Y","Y","N",1,0,"2024-05-12-St Truiden-Mechelen","Ken Vermeiren",3,1.2,0.9,65,10,0,30,30,9,195,90,0,0,0,0,1,0,0,0,0,0,0,10,0,10,0,90,0,0,0,90,0,90,90,0,0,0,59
