"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","bundesliga_goalmins","n","bundesliga_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"5","D1",2022-08-06,"Union Berlin","Hertha",3,1,"H",1,0,"H",1.79,3.78,4.97,"1-0","3-1",18,8,9,3,2,3,0,0,5,4,23,17,4,9,40,"5-4","Y","Y","Y",5,0,"Union Berlin-Hertha",220,4,72,50,600,200,450,3600,36,288,648,1980,1800
"17","D1",2022-08-14,"Mainz","Union Berlin",0,0,"D",0,0,"D",2.3,3.23,3.6,"0-0","0-0",10,5,10,2,1,0,0,0,4,4,9,14,0,8,23,"4-4","N","N","N",1,0,"Mainz-Union Berlin",0,0,0,10,0,0,80,0,0,0,0,0,0
"25","D1",2022-08-20,"Union Berlin","RB Leipzig",2,1,"H",2,0,"H",3.7,3.63,2.1,"2-0","2-1",9,4,16,2,2,1,0,0,1,13,14,8,3,14,22,"1-13","Y","Y","N",3,0,"Union Berlin-RB Leipzig",153,3,76,30,200,90,420,2280,42,228,1064,2142,1260
"33","D1",2022-08-27,"Schalke 04","Union Berlin",1,6,"A",1,3,"A",3.16,3.48,2.39,"1-3","1-6",12,4,12,7,1,0,0,0,8,2,9,11,7,10,20,"8-2","Y","Y","Y",1,0,"Schalke 04-Union Berlin",341,7,108,10,0,70,100,1080,70,756,1080,3410,700
"41","D1",2022-09-03,"Union Berlin","Bayern Munich",1,1,"D",1,1,"D",7.55,5.74,1.39,"1-1","1-1",10,3,21,6,1,2,0,0,5,7,19,7,2,12,26,"5-7","Y","N","N",3,0,"Union Berlin-Bayern Munich",27,2,33,30,200,60,360,990,24,66,396,324,720
"53","D1",2022-09-11,"FC Koln","Union Berlin",0,1,"A",0,1,"A",2.54,3.53,2.89,"0-1","0-1",7,2,12,3,4,1,1,0,7,8,15,12,1,15,27,"7-8","N","N","N",5,1,"FC Koln-Union Berlin",3,1,4,75,650,75,1125,300,15,4,60,45,1125
"61","D1",2022-09-18,"Union Berlin","Wolfsburg",2,0,"H",0,0,"D",2.07,3.43,4.02,"0-0","2-0",16,4,5,0,0,0,0,0,4,1,18,6,2,5,24,"4-1","Y","N","N",0,0,"Union Berlin-Wolfsburg",131,2,72,0,0,0,0,0,10,144,360,655,0
"65","D1",2022-10-01,"Ein Frankfurt","Union Berlin",2,0,"H",2,0,"H",2.31,3.52,3.27,"2-0","2-0",14,4,14,5,3,4,1,0,4,7,4,11,2,11,15,"4-7","Y","N","N",7,1,"Ein Frankfurt-Union Berlin",54,2,56,95,2200,190,1045,5320,22,112,616,594,2090
"81","D1",2022-10-09,"Stuttgart","Union Berlin",0,1,"A",0,0,"D",2.65,3.25,2.97,"0-0","0-1",9,3,7,4,3,3,1,0,2,5,12,10,1,7,22,"2-5","N","N","N",6,1,"Stuttgart-Union Berlin",76,1,3,85,1650,85,595,255,7,3,21,532,595
"89","D1",2022-10-16,"Union Berlin","Dortmund",2,0,"H",2,0,"H",3.06,3.51,2.44,"2-0","2-0",14,5,13,6,1,2,0,0,5,8,15,5,2,13,20,"5-8","Y","N","N",3,0,"Union Berlin-Dortmund",29,2,38,30,200,60,390,1140,26,76,494,377,780
