"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","bundesliga_goalmins","n","bundesliga_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"8","D1","2022-08-07","Stuttgart","RB Leipzig",1,1,"D",1,1,"D",4.44,4.12,1.8,"1-1","1-1",11,2,27,9,2,1,0,0,1,9,14,9,2,10,23,"1-9","Y","N","N",3,0,"Stuttgart-RB Leipzig",39,2,0,30,200,60,300,0,20,0,0,390,600
"15","D1","2022-08-13","Werder Bremen","Stuttgart",2,2,"D",1,1,"D",2.36,3.62,3.1,"1-1","2-2",5,3,14,7,4,2,0,0,2,5,6,10,4,7,16,"2-5","Y","Y","Y",6,0,"Werder Bremen-Stuttgart",209,4,0,60,800,240,420,0,28,0,0,1463,1680
"23","D1","2022-08-20","Stuttgart","Freiburg",0,1,"A",0,1,"A",2.67,3.66,2.67,"0-1","0-1",18,5,9,3,4,2,0,0,3,1,8,12,1,4,20,"3-1","N","N","N",6,0,"Stuttgart-Freiburg",11,1,32,60,800,60,240,1920,4,32,128,44,240
"35","D1","2022-08-28","FC Koln","Stuttgart",0,0,"D",0,0,"D",2.16,3.67,3.48,"0-0","0-0",6,2,13,5,2,2,0,1,6,8,14,12,0,14,26,"6-8","N","N","N",4,1,"FC Koln-Stuttgart",0,0,0,65,900,0,910,0,0,0,0,0,0
"40","D1","2022-09-03","Stuttgart","Schalke 04",1,1,"D",1,1,"D",1.79,4.18,4.4,"1-1","1-1",13,3,13,4,4,2,1,0,5,7,11,10,2,12,21,"5-7","Y","N","N",6,1,"Stuttgart-Schalke 04",39,2,31,85,1300,170,1020,2635,24,62,372,468,2040
"47","D1","2022-09-10","Bayern Munich","Stuttgart",2,2,"D",1,0,"H",1.17,8.98,16.13,"1-0","2-2",18,7,8,3,2,5,0,0,3,0,11,9,4,3,20,"3-0","Y","Y","Y",7,0,"Bayern Munich-Stuttgart",243,4,112,70,1000,280,210,7840,12,448,336,729,840
"59","D1","2022-09-17","Stuttgart","Ein Frankfurt",1,3,"A",0,1,"A",2.37,3.64,3.08,"0-1","1-3",15,2,13,8,2,0,0,0,7,4,9,11,4,11,20,"7-4","Y","Y","Y",2,0,"Stuttgart-Ein Frankfurt",228,4,48,20,0,80,220,960,44,192,528,2508,880
"69","D1","2022-10-01","Wolfsburg","Stuttgart",3,2,"H",2,2,"D",2.41,3.53,3.08,"2-2","3-2",20,7,15,7,3,5,0,0,8,5,16,14,5,13,30,"8-5","Y","Y","Y",8,0,"Wolfsburg-Stuttgart",218,5,0,80,1500,400,1040,0,65,0,0,2834,5200
"81","D1","2022-10-09","Stuttgart","Union Berlin",0,1,"A",0,0,"D",2.65,3.25,2.97,"0-0","0-1",9,3,7,4,3,3,1,0,2,5,12,10,1,7,22,"2-5","N","N","N",6,1,"Stuttgart-Union Berlin",76,1,3,85,1650,85,595,255,7,3,21,532,595
"84","D1","2022-10-15","Stuttgart","Bochum",4,1,"H",2,1,"H",1.68,4.03,5.5,"2-1","4-1",16,7,14,4,0,3,0,0,3,3,6,17,5,6,23,"3-3","Y","Y","Y",3,0,"Stuttgart-Bochum",189,5,72,30,0,150,180,2160,30,360,432,1134,900
"93","D1","2022-10-22","Dortmund","Stuttgart",5,0,"H",3,0,"H",1.57,4.44,6.06,"3-0","5-0",19,10,10,1,1,0,0,0,9,2,7,8,5,11,15,"9-2","Y","Y","Y",1,0,"Dortmund-Stuttgart",184,5,0,10,0,50,110,0,55,0,0,2024,550
"103","D1","2022-10-29","Stuttgart","Augsburg",2,1,"H",1,1,"D",1.81,3.98,4.51,"1-1","2-1",31,8,12,6,1,2,0,0,10,3,7,12,3,13,19,"10-3","Y","Y","N",3,0,"Stuttgart-Augsburg",109,3,18,30,200,90,390,540,39,54,234,1417,1170
"109","D1","2022-11-04","Mgladbach","Stuttgart",3,1,"H",2,1,"H",2.26,3.81,3.16,"2-1","3-1",11,6,13,4,2,1,0,0,3,5,13,16,4,8,29,"3-5","Y","Y","Y",3,0,"Mgladbach-Stuttgart",154,4,0,30,200,120,240,0,32,0,0,1232,960
"121","D1","2022-11-08","Stuttgart","Hertha",2,1,"H",1,1,"D",1.97,3.76,3.99,"1-1","2-1",16,7,11,4,3,2,0,0,8,5,9,15,3,13,24,"8-5","Y","Y","N",5,0,"Stuttgart-Hertha",112,3,28,50,600,150,650,1400,39,84,364,1456,1950
"131","D1","2022-11-12","Leverkusen","Stuttgart",2,0,"H",1,0,"H",1.73,4.21,4.78,"1-0","2-0",11,3,7,1,2,3,0,0,4,2,11,10,2,6,21,"4-2","Y","N","N",5,0,"Leverkusen-Stuttgart",112,2,0,50,600,100,300,0,12,0,0,672,600
"139","D1","2023-01-21","Stuttgart","Mainz",1,1,"D",1,1,"D",2.44,3.54,3.03,"1-1","1-1",16,4,12,2,1,3,0,0,3,5,15,17,2,8,32,"3-5","Y","N","N",4,0,"Stuttgart-Mainz",76,2,20,40,300,80,320,800,16,40,160,608,640
"148","D1","2023-01-24","Hoffenheim","Stuttgart",2,2,"D",1,1,"D",2.19,3.63,3.44,"1-1","2-2",13,5,8,4,1,3,0,1,6,4,12,4,4,10,16,"6-4","Y","Y","Y",4,1,"Hoffenheim-Stuttgart",223,4,66,65,550,260,650,4290,40,264,660,2230,2600
"154","D1","2023-01-27","RB Leipzig","Stuttgart",2,1,"H",1,0,"H",1.38,5.27,9.19,"1-0","2-1",9,4,10,3,0,0,0,0,3,6,8,6,3,9,14,"3-6","Y","Y","N",0,0,"RB Leipzig-Stuttgart",142,3,0,0,0,0,0,0,27,0,0,1278,0
"170","D1","2023-02-05","Stuttgart","Werder Bremen",0,2,"A",0,0,"D",2.09,3.77,3.57,"0-0","0-2",16,5,9,4,2,5,0,0,8,4,8,17,2,12,25,"8-4","Y","N","N",7,0,"Stuttgart-Werder Bremen",136,2,13,70,1000,140,840,910,24,26,156,1632,1680
