,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,PSH,PSD,PSA,HTCS,CS,HS,HST,AS,AST,HY,AY,HR,AR,HCO,ACO,HF,AF,TG,TC,TF,COSC,OV15,OV25,OV35,TY,TR,matchid,bundesliga_goalmins,n,bundesliga_shirts,Bookings,Crossbookings,GoalsXbookings,CornersXbookings,ShirtsXbookings,GoalsXcorners,GoalsXshirts,ShirtsXcorners,TGMXcorners,GoalsXcornerXbookings
9,D1,8/7/2022,FC Koln,Schalke 04,3,1,H,0,0,D,1.75,4.28,4.58,0-0,1-Mar,30,10,6,2,0,1,0,1,9,1,8,10,4,10,18,1-Sep,Y,Y,Y,1,1,FC Koln-Schalke 04,267,4,44,35,0,140,350,1540,40,176,440,2670,1400
16,D1,8/13/2022,Schalke 04,Mgladbach,2,2,D,1,0,H,3.21,3.81,2.23,Jan-00,2-Feb,14,5,14,9,4,2,0,0,2,7,12,8,4,9,20,7-Feb,Y,Y,Y,6,0,Schalke 04-Mgladbach,269,4,0,60,800,240,540,0,36,0,0,2421,2160
24,D1,8/20/2022,Wolfsburg,Schalke 04,0,0,D,0,0,D,1.88,3.78,4.38,0-0,0-0,16,6,9,2,1,3,0,0,12,4,13,10,0,16,23,4-Dec,N,N,N,4,0,Wolfsburg-Schalke 04,0,0,0,40,300,0,640,0,0,0,0,0,0
33,D1,8/27/2022,Schalke 04,Union Berlin,1,6,A,1,3,A,3.16,3.48,2.39,3-Jan,6-Jan,12,4,12,7,1,0,0,0,8,2,9,11,7,10,20,2-Aug,Y,Y,Y,1,0,Schalke 04-Union Berlin,341,7,108,10,0,70,100,1080,70,756,1080,3410,700
40,D1,9/3/2022,Stuttgart,Schalke 04,1,1,D,1,1,D,1.79,4.18,4.4,1-Jan,1-Jan,13,3,13,4,4,2,1,0,5,7,11,10,2,12,21,7-May,Y,N,N,6,1,Stuttgart-Schalke 04,39,2,31,85,1300,170,1020,2635,24,62,372,468,2040
52,D1,9/10/2022,Schalke 04,Bochum,3,1,H,1,0,H,2.07,3.69,3.73,Jan-00,1-Mar,20,8,9,2,2,3,0,0,3,8,12,16,4,11,28,8-Mar,Y,Y,Y,5,0,Schalke 04-Bochum,252,4,101,50,600,200,550,5050,44,404,1111,2772,2200
57,D1,9/17/2022,Dortmund,Schalke 04,1,0,H,0,0,D,1.41,5.61,7.33,0-0,Jan-00,19,7,3,0,3,2,0,0,11,2,12,14,1,13,26,2-Nov,N,N,N,5,0,Dortmund-Schalke 04,78,1,0,50,600,50,650,0,13,0,0,1014,650
72,D1,10/2/2022,Schalke 04,Augsburg,2,3,A,1,2,A,1.99,3.75,3.95,2-Jan,3-Feb,16,5,11,5,2,6,0,1,8,4,11,10,5,12,21,4-Aug,Y,Y,Y,8,1,Schalke 04-Augsburg,203,5,61,105,1700,525,1260,6405,60,305,732,2436,6300
76,D1,10/8/2022,Leverkusen,Schalke 04,4,0,H,2,0,H,1.47,5.02,6.83,Feb-00,Apr-00,13,7,2,1,1,1,0,0,3,3,9,17,4,6,26,3-Mar,Y,Y,Y,2,0,Leverkusen-Schalke 04,221,4,0,20,100,80,120,0,24,0,0,1326,480
82,D1,10/14/2022,Schalke 04,Hoffenheim,0,3,A,0,2,A,3.72,3.87,2.02,0-2,0-3,14,2,18,7,2,2,0,0,4,5,12,8,3,9,20,5-Apr,Y,Y,N,4,0,Schalke 04-Hoffenheim,115,3,68,40,400,120,360,2720,27,204,612,1035,1080
99,D1,10/23/2022,Hertha,Schalke 04,2,1,H,0,0,D,1.78,3.99,4.71,0-0,1-Feb,11,4,9,2,5,1,0,0,5,6,14,14,3,11,28,6-May,Y,Y,N,6,0,Hertha-Schalke 04,222,3,67,60,500,180,660,4020,33,201,737,2442,1980
107,D1,10/30/2022,Schalke 04,Freiburg,0,2,A,0,1,A,4.13,3.75,1.94,0-1,0-2,12,3,19,9,3,2,0,0,4,8,20,7,2,12,27,8-Apr,Y,N,N,5,0,Schalke 04-Freiburg,106,2,64,50,600,100,600,3200,24,128,768,1272,1200
115,D1,11/5/2022,Werder Bremen,Schalke 04,2,1,H,1,0,H,1.66,4.42,5.11,Jan-00,1-Feb,11,5,19,3,3,2,0,0,3,3,11,12,3,6,23,3-Mar,Y,Y,N,5,0,Werder Bremen-Schalke 04,195,3,0,50,600,150,300,0,18,0,0,1170,900
