"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","bundesliga_goalmins","n","bundesliga_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"3","D1","2022-08-06","Bochum","Mainz",1,2,"A",1,1,"D",3.34,3.43,2.32,"1-1","1-2",16,3,13,6,2,3,0,0,3,5,11,16,3,8,27,"3-5","Y","Y","N",5,0,"Bochum-Mainz",142,3,25,50,600,150,400,1250,24,75,200,1136,1200
"12","D1","2022-08-13","Hoffenheim","Bochum",3,2,"H",2,2,"D",1.61,4.5,5.48,"2-2","3-2",24,13,11,5,1,1,0,0,8,2,13,10,5,10,23,"8-2","Y","Y","Y",2,0,"Hoffenheim-Bochum",148,5,47,20,100,100,200,940,50,235,470,1480,1000
"27","D1","2022-08-21","Bochum","Bayern Munich",0,7,"A",0,4,"A",13.39,8.03,1.2,"0-4","0-7",13,7,22,12,1,0,0,0,5,5,10,6,7,10,16,"5-5","Y","Y","Y",1,0,"Bochum-Bayern Munich",309,7,68,10,0,70,100,680,70,476,680,3090,700
"28","D1","2022-08-26","Freiburg","Bochum",1,0,"H",0,0,"D",1.53,4.81,6.12,"0-0","1-0",28,12,15,5,2,2,0,0,2,5,15,13,1,7,28,"2-5","N","N","N",4,0,"Freiburg-Bochum",48,1,32,40,400,40,280,1280,7,32,224,336,280
"38","D1","2022-09-03","Bochum","Werder Bremen",0,2,"A",0,0,"D",2.99,3.71,2.39,"0-0","0-2",19,6,16,6,2,2,0,0,7,3,15,10,2,10,25,"7-3","Y","N","N",4,0,"Bochum-Werder Bremen",176,2,0,40,400,80,400,0,20,0,0,1760,800
"52","D1","2022-09-10","Schalke 04","Bochum",3,1,"H",1,0,"H",2.07,3.69,3.73,"1-0","3-1",20,8,9,2,2,3,0,0,3,8,12,16,4,11,28,"3-8","Y","Y","Y",5,0,"Schalke 04-Bochum",252,4,101,50,600,200,550,5050,44,404,1111,2772,2200
"62","D1","2022-09-18","Bochum","FC Koln",1,1,"D",1,0,"H",3.09,3.75,2.31,"1-0","1-1",7,0,18,3,0,1,0,0,4,8,12,8,2,12,20,"4-8","Y","N","N",1,0,"Bochum-FC Koln",97,2,39,10,0,20,120,390,24,78,468,1164,240
"68","D1","2022-10-01","RB Leipzig","Bochum",4,0,"H",2,0,"H",1.25,7.21,11.05,"2-0","4-0",17,9,2,1,0,2,0,0,7,2,8,8,4,9,16,"7-2","Y","Y","Y",2,0,"RB Leipzig-Bochum",176,4,0,20,0,80,180,0,36,0,0,1584,720
"75","D1","2022-10-08","Bochum","Ein Frankfurt",3,0,"H",0,0,"D",4.01,4.01,1.91,"0-0","3-0",11,6,11,2,2,1,0,0,9,4,12,10,3,13,22,"9-4","Y","Y","N",3,0,"Bochum-Ein Frankfurt",248,3,45,30,200,90,390,1350,39,135,585,3224,1170
"84","D1","2022-10-15","Stuttgart","Bochum",4,1,"H",2,1,"H",1.68,4.03,5.5,"2-1","4-1",16,7,14,4,0,3,0,0,3,3,6,17,5,6,23,"3-3","Y","Y","Y",3,0,"Stuttgart-Bochum",189,5,72,30,0,150,180,2160,30,360,432,1134,900
"98","D1","2022-10-23","Bochum","Union Berlin",2,1,"H",1,0,"H",4.48,3.48,1.95,"1-0","2-1",8,5,6,3,1,3,0,0,3,7,14,10,3,10,24,"3-7","Y","Y","N",4,0,"Bochum-Union Berlin",204,3,82,40,300,120,400,3280,30,246,820,2040,1200
"104","D1","2022-10-29","Wolfsburg","Bochum",4,0,"H",2,0,"H",1.72,4.24,4.85,"2-0","4-0",22,7,10,3,1,1,0,0,7,2,7,17,4,9,24,"7-2","Y","Y","Y",2,0,"Wolfsburg-Bochum",200,4,87,20,100,80,180,1740,36,348,783,1800,720
"111","D1","2022-11-05","Dortmund","Bochum",3,0,"H",3,0,"H",1.25,6.51,12.47,"3-0","3-0",6,3,7,1,1,1,0,0,2,5,7,14,3,7,21,"2-5","Y","Y","N",2,0,"Dortmund-Bochum",65,3,43,20,100,60,140,860,21,129,301,455,420
"120","D1","2022-11-08","Bochum","Mgladbach",2,1,"H",2,0,"H",3.28,3.64,2.26,"2-0","2-1",13,4,8,2,1,3,0,0,6,3,11,14,3,9,25,"6-3","Y","Y","N",4,0,"Bochum-Mgladbach",81,3,69,40,300,120,360,2760,27,207,621,729,1080
"128","D1","2022-11-12","Augsburg","Bochum",0,1,"A",0,0,"D",2.23,3.62,3.36,"0-0","0-1",19,5,11,4,1,1,0,0,6,2,12,9,1,8,21,"6-2","N","N","N",2,0,"Augsburg-Bochum",58,1,22,20,100,20,160,440,8,22,176,464,160
"137","D1","2023-01-21","Bochum","Hertha",3,1,"H",2,0,"H",2.44,3.61,2.98,"2-0","3-1",10,3,10,2,1,1,0,0,1,6,13,13,4,7,26,"1-6","Y","Y","Y",2,0,"Bochum-Hertha",209,4,105,20,100,80,140,2100,28,420,735,1463,560
"152","D1","2023-01-25","Leverkusen","Bochum",2,0,"H",1,0,"H",1.45,4.98,7.28,"1-0","2-0",11,4,9,2,2,4,0,0,3,4,15,14,2,7,29,"3-4","Y","N","N",6,0,"Leverkusen-Bochum",61,2,35,60,800,120,420,2100,14,70,245,427,840
"158","D1","2023-01-28","Mainz","Bochum",5,2,"H",3,0,"H",1.74,4.06,4.96,"3-0","5-2",14,7,14,4,0,1,0,0,3,2,17,11,7,5,28,"3-2","Y","Y","Y",1,0,"Mainz-Bochum",332,7,96,10,0,70,50,960,35,672,480,1660,350
"164","D1","2023-02-04","Bochum","Hoffenheim",5,2,"H",3,0,"H",2.8,3.64,2.56,"3-0","5-2",17,11,10,4,2,3,0,0,6,6,13,15,7,12,28,"6-6","Y","Y","Y",5,0,"Bochum-Hoffenheim",370,7,111,50,600,350,600,5550,84,777,1332,4440,4200
"173","D1","2023-02-11","Bayern Munich","Bochum",3,0,"H",1,0,"H",1.15,9.98,16.58,"1-0","3-0",25,12,7,1,1,1,0,0,6,3,10,12,3,9,22,"6-3","Y","Y","N",2,0,"Bayern Munich-Bochum",178,3,43,20,100,60,180,860,27,129,387,1602,540
"182","D1","2023-02-18","Bochum","Freiburg",0,2,"A",0,1,"A",3.15,3.56,2.36,"0-1","0-2",15,6,15,5,4,2,1,0,5,5,15,10,2,10,25,"5-5","Y","N","N",6,1,"Bochum-Freiburg",90,2,47,85,1300,170,850,3995,20,94,470,900,1700
"195","D1","2023-02-25","Werder Bremen","Bochum",3,0,"H",2,0,"H",2.04,3.78,3.72,"2-0","3-0",12,6,9,2,3,2,0,0,2,0,16,16,3,2,32,"2-0","Y","Y","N",5,0,"Werder Bremen-Bochum",131,3,40,50,600,150,100,2000,6,120,80,262,300
"201","D1","2023-03-04","Bochum","Schalke 04",0,2,"A",0,1,"A",2.44,3.48,3.03,"0-1","0-2",6,4,9,5,2,1,0,0,4,4,17,11,2,8,28,"4-4","Y","N","N",3,0,"Bochum-Schalke 04",124,2,12,30,200,60,240,360,16,24,96,992,480
"2","D1","2022-08-06","Augsburg","Freiburg",0,4,"A",0,0,"D",3.53,3.59,2.17,"0-0","0-4",10,2,19,7,0,0,0,0,5,8,13,13,4,13,26,"5-8","Y","Y","Y",0,0,"Augsburg-Freiburg",233,4,140,0,0,0,0,0,52,560,1820,3029,0
"10","D1","2022-08-12","Freiburg","Dortmund",1,3,"A",1,0,"H",3.15,3.83,2.26,"1-0","1-3",16,7,16,7,1,3,0,0,9,2,16,10,4,11,26,"9-2","Y","Y","Y",4,0,"Freiburg-Dortmund",284,4,116,40,300,160,440,4640,44,464,1276,3124,1760
