"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","seriea_goalmins","n","seriea_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"10","I1","2022-08-15","Juventus","Sassuolo",3,0,"H",2,0,"H",1.5,4.83,6.61,"2-0","3-0",14,4,19,7,1,3,0,0,3,2,7,5,3,5,12,"3-2","Y","Y","N",4,0,"Juventus-Sassuolo",120,3,40,40,300,120,200,1600,15,120,200,600,600
"14","I1","2022-08-20","Sassuolo","Lecce",1,0,"H",1,0,"H",1.81,4.14,4.35,"1-0","1-0",12,3,7,1,5,1,0,0,5,4,14,12,1,9,26,"5-4","N","N","N",6,0,"Sassuolo-Lecce",39,1,10,60,500,60,540,600,9,10,90,351,540
"26","I1","2022-08-27","Spezia","Sassuolo",2,2,"D",2,1,"H",3.13,3.73,2.3,"2-1","2-2",7,2,21,8,2,1,1,0,2,6,17,10,4,8,27,"2-6","Y","Y","Y",3,1,"Spezia-Sassuolo",152,4,63,55,450,220,440,3465,32,252,504,1216,1760
"31","I1","2022-08-30","Sassuolo","Milan",0,0,"D",0,0,"D",5.47,4.29,1.64,"0-0","0-0",8,3,10,2,5,2,0,0,3,8,14,13,0,11,27,"3-8","N","N","N",7,0,"Sassuolo-Milan",0,0,0,70,1000,0,770,0,0,0,0,0,0
"44","I1","2022-09-04","Cremonese","Sassuolo",0,0,"D",0,0,"D",3.1,3.64,2.35,"0-0","0-0",10,0,17,7,1,1,0,0,2,3,16,6,0,5,22,"2-3","N","N","N",2,0,"Cremonese-Sassuolo",0,0,0,20,100,0,100,0,0,0,0,0,0
"57","I1","2022-09-11","Sassuolo","Udinese",1,3,"A",1,0,"H",2.73,3.59,2.65,"1-0","1-3",5,2,17,4,1,3,1,0,5,6,7,15,4,11,22,"5-6","Y","Y","Y",4,1,"Sassuolo-Udinese",288,4,58,65,1050,260,715,3770,44,232,638,3168,2860
"64","I1","2022-09-17","Torino","Sassuolo",0,1,"A",0,0,"D",1.85,3.81,4.49,"0-0","0-1",12,3,10,5,4,1,0,0,4,3,13,7,1,7,20,"4-3","N","N","N",5,0,"Torino-Sassuolo",90,1,11,50,400,50,350,550,7,11,77,630,350
"77","I1","2022-10-02","Sassuolo","Salernitana",5,0,"H",2,0,"H",2.12,3.68,3.57,"2-0","5-0",17,11,6,1,1,1,0,0,1,2,10,8,5,3,18,"1-2","Y","Y","Y",2,0,"Sassuolo-Salernitana",270,5,122,20,100,100,60,2440,15,610,366,810,300
"81","I1","2022-10-08","Sassuolo","Inter",1,2,"A",0,1,"A",4.61,4.34,1.74,"0-1","1-2",15,3,16,4,3,2,0,0,6,5,14,17,3,11,31,"6-5","Y","Y","N",5,0,"Sassuolo-Inter",179,3,34,50,600,150,550,1700,33,102,374,1969,1650
"93","I1","2022-10-15","Atalanta","Sassuolo",2,1,"H",1,1,"D",1.69,4.2,5.08,"1-1","2-1",16,4,11,3,1,4,0,0,3,3,10,8,3,6,18,"3-3","Y","Y","N",5,0,"Atalanta-Sassuolo",132,3,176,50,400,150,300,8800,18,528,1056,792,900
"110","I1","2022-10-24","Sassuolo","Verona",2,1,"H",1,1,"D",1.99,3.75,3.92,"1-1","2-1",14,3,13,5,1,3,0,0,4,5,7,19,3,9,26,"4-5","Y","Y","N",4,0,"Sassuolo-Verona",108,3,78,40,300,120,360,3120,27,234,702,972,1080
"111","I1","2022-10-29","Napoli","Sassuolo",4,0,"H",3,0,"H",1.31,5.9,10.07,"3-0","4-0",18,6,10,6,0,3,0,1,11,5,5,6,4,16,11,"11-5","Y","Y","Y",3,1,"Napoli-Sassuolo",136,4,0,55,0,220,880,0,64,0,0,2176,3520
