"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","seriea_goalmins","n","seriea_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"7","I1",2022-08-14,"Salernitana","Roma",0,1,"A",0,1,"A",6.65,4.79,1.5,"0-1","0-1",13,2,20,5,3,2,0,0,4,2,18,9,1,6,27,"4-2","N","N","N",5,0,"Salernitana-Roma",33,1,4,50,600,50,300,200,6,4,24,198,300
"12","I1",2022-08-20,"Udinese","Salernitana",0,0,"D",0,0,"D",1.77,3.95,4.86,"0-0","0-0",15,2,17,6,2,4,1,0,6,6,9,12,0,12,21,"6-6","N","N","N",6,1,"Udinese-Salernitana",0,0,0,85,1800,0,1020,0,0,0,0,0,0
"27","I1",2022-08-28,"Salernitana","Sampdoria",4,0,"H",2,0,"H",2.53,3.21,3.18,"2-0","4-0",9,6,17,6,2,2,0,0,6,3,19,14,4,9,33,"6-3","Y","Y","Y",4,0,"Salernitana-Sampdoria",149,4,59,40,400,160,360,2360,36,236,531,1341,1440
"40","I1",2022-09-01,"Bologna","Salernitana",1,1,"D",0,0,"D",1.91,3.6,4.49,"0-0","1-1",11,4,20,4,2,2,0,0,1,8,10,11,2,9,21,"1-8","Y","N","N",4,0,"Bologna-Salernitana",140,2,38,40,400,80,360,1520,18,76,342,1260,720
"49","I1",2022-09-05,"Salernitana","Empoli",2,2,"D",1,1,"D",2.28,3.47,3.39,"1-1","2-2",15,4,11,5,3,2,0,0,6,7,7,9,4,13,16,"6-7","Y","Y","Y",5,0,"Salernitana-Empoli",212,4,75,50,600,200,650,3750,52,300,975,2756,2600
"59","I1",2022-09-11,"Juventus","Salernitana",2,2,"D",0,2,"A",1.44,4.86,8.08,"0-2","2-2",22,7,11,5,5,4,2,1,8,2,13,15,4,10,28,"8-2","Y","Y","Y",9,3,"Juventus-Salernitana",204,4,208,165,6500,660,1650,34320,40,832,2080,2040,6600
"61","I1",2022-09-16,"Salernitana","Lecce",1,2,"A",0,1,"A",2.3,3.35,3.46,"0-1","1-2",8,4,13,4,1,3,0,0,4,5,9,11,3,9,20,"4-5","Y","Y","N",4,0,"Salernitana-Lecce",181,3,120,40,300,120,360,4800,27,360,1080,1629,1080
"77","I1",2022-10-02,"Sassuolo","Salernitana",5,0,"H",2,0,"H",2.12,3.68,3.57,"2-0","5-0",17,11,6,1,1,1,0,0,1,2,10,8,5,3,18,"1-2","Y","Y","Y",2,0,"Sassuolo-Salernitana",270,5,122,20,100,100,60,2440,15,610,366,810,300
"86","I1",2022-10-09,"Salernitana","Verona",2,1,"H",1,0,"H",2.5,3.47,2.99,"1-0","2-1",14,4,12,2,3,3,1,1,1,6,9,15,3,7,24,"1-6","Y","Y","N",6,2,"Salernitana-Verona",164,3,157,110,3025,330,770,17270,21,471,1099,1148,2310
"94","I1",2022-10-16,"Inter","Salernitana",2,0,"H",1,0,"H",1.29,5.99,10.99,"1-0","2-0",16,6,8,3,0,1,0,0,6,4,12,14,2,10,26,"6-4","Y","N","N",1,0,"Inter-Salernitana",72,2,33,10,0,20,100,330,20,66,330,720,200
"102","I1",2022-10-22,"Salernitana","Spezia",1,0,"H",0,0,"D",2.04,3.59,3.94,"0-0","1-0",17,4,14,2,2,4,0,0,4,7,9,8,1,11,17,"4-7","N","N","N",6,0,"Salernitana-Spezia",48,1,30,60,800,60,660,1800,11,30,330,528,660
"117","I1",2022-10-30,"Lazio","Salernitana",1,3,"A",1,0,"H",1.5,4.68,6.98,"1-0","1-3",13,4,10,6,3,3,0,0,4,5,10,7,4,9,17,"4-5","Y","Y","Y",6,0,"Lazio-Salernitana",236,4,153,60,900,240,540,9180,36,612,1377,2124,2160
"123","I1",2022-11-05,"Salernitana","Cremonese",2,2,"D",2,1,"H",2.23,3.47,3.49,"2-1","2-2",11,2,11,5,2,2,0,0,2,2,14,10,4,4,24,"2-2","Y","Y","Y",4,0,"Salernitana-Cremonese",142,4,203,40,400,160,160,8120,16,812,812,568,640
"136","I1",2022-11-09,"Fiorentina","Salernitana",2,1,"H",1,0,"H",1.56,4.45,6.17,"1-0","2-1",18,7,4,1,0,1,0,0,4,3,10,11,3,7,21,"4-3","Y","Y","N",1,0,"Fiorentina-Salernitana",151,3,41,10,0,30,70,410,21,123,287,1057,210
"146","I1",2022-11-13,"Monza","Salernitana",3,0,"H",2,0,"H",2.15,3.39,3.81,"2-0","3-0",19,7,5,0,0,2,0,1,6,1,9,11,3,7,20,"6-1","Y","Y","N",2,1,"Monza-Salernitana",134,3,109,45,0,135,315,4905,21,327,763,938,945
"151","I1",2023-01-04,"Salernitana","Milan",1,2,"A",0,2,"A",6.95,4.56,1.51,"0-2","1-2",8,1,16,10,4,1,0,0,6,2,21,13,3,8,34,"6-2","Y","Y","N",5,0,"Salernitana-Milan",108,3,34,50,400,150,400,1700,24,102,272,864,1200
"164","I1",2023-01-08,"Salernitana","Torino",1,1,"D",0,1,"A",3.83,3.29,2.19,"0-1","1-1",11,4,23,8,2,3,0,0,6,7,10,15,2,13,25,"6-7","Y","N","N",5,0,"Salernitana-Torino",85,2,19,50,600,100,650,950,26,38,247,1105,1300
"178","I1",2023-01-15,"Atalanta","Salernitana",8,2,"H",5,1,"H",1.41,5.26,8.04,"5-1","8-2",19,13,7,2,1,0,0,0,5,2,10,12,10,7,22,"5-2","Y","Y","Y",1,0,"Atalanta-Salernitana",393,10,202,10,0,100,70,2020,70,2020,1414,2751,700
"182","I1",2023-01-21,"Salernitana","Napoli",0,2,"A",0,1,"A",9.36,5.7,1.34,"0-1","0-2",5,2,9,4,2,2,0,0,3,4,14,15,2,7,29,"3-4","Y","N","N",4,0,"Salernitana-Napoli",93,2,0,40,400,80,280,0,14,0,0,651,560
"192","I1",2023-01-27,"Lecce","Salernitana",1,2,"A",1,2,"A",1.85,3.52,5.01,"1-2","1-2",15,5,10,6,2,4,0,0,4,4,14,11,3,8,25,"4-4","Y","Y","N",6,0,"Lecce-Salernitana",48,3,66,60,800,180,480,3960,24,198,528,384,1440
"210","I1",2023-02-07,"Salernitana","Juventus",0,3,"A",0,2,"A",7.38,4.32,1.52,"0-2","0-3",10,1,17,5,1,1,0,0,6,3,9,12,3,9,21,"6-3","Y","Y","N",2,0,"Salernitana-Juventus",118,3,35,20,100,60,180,700,27,105,315,1062,540
"6","I1",2022-08-14,"Lazio","Bologna",2,1,"H",0,1,"A",1.62,4.29,5.7,"0-1","2-1",9,6,11,3,2,6,1,1,3,2,11,18,3,5,29,"3-2","Y","Y","N",8,2,"Lazio-Bologna",185,3,55,130,3825,390,650,7150,15,165,275,925,1950
"11","I1",2022-08-20,"Torino","Lazio",0,0,"D",0,0,"D",3.08,3.5,2.43,"0-0","0-0",10,1,7,2,0,5,0,0,6,4,11,12,0,10,23,"6-4","N","N","N",5,0,"Torino-Lazio",0,0,0,50,0,0,500,0,0,0,0,0,0
"22","I1",2022-08-26,"Lazio","Inter",3,1,"H",1,0,"H",4.21,3.78,1.92,"1-0","3-1",11,7,19,7,2,1,0,0,2,4,5,12,4,6,17,"2-4","Y","Y","Y",3,0,"Lazio-Inter",252,4,36,30,200,120,180,1080,24,144,216,1512,720
"35","I1",2022-08-31,"Sampdoria","Lazio",1,1,"D",0,1,"A",4.25,3.78,1.91,"0-1","1-1",10,3,13,6,0,2,0,0,5,7,10,7,2,12,17,"5-7","Y","N","N",2,0,"Sampdoria-Lazio",111,2,40,20,0,40,240,800,24,80,480,1332,480
"43","I1",2022-09-03,"Lazio","Napoli",1,2,"A",1,1,"D",3.04,3.58,2.42,"1-1","1-2",8,2,19,7,4,0,0,0,6,8,12,14,3,14,26,"6-8","Y","Y","N",4,0,"Lazio-Napoli",103,3,0,40,0,120,560,0,42,0,0,1442,1680
"58","I1",2022-09-11,"Lazio","Verona",2,0,"H",0,0,"D",1.61,4.35,5.74,"0-0","2-0",15,6,7,1,2,5,0,0,3,5,5,23,2,8,28,"3-5","Y","N","N",7,0,"Lazio-Verona",158,2,27,70,1000,140,560,1890,16,54,216,1264,1120
"66","I1",2022-09-18,"Cremonese","Lazio",0,4,"A",0,3,"A",4.25,4.01,1.85,"0-3","0-4",18,3,14,6,1,1,0,0,8,5,12,9,4,13,21,"8-5","Y","Y","Y",2,0,"Cremonese-Lazio",152,4,64,20,100,80,260,1280,52,256,832,1976,1040
"74","I1",2022-10-02,"Lazio","Spezia",4,0,"H",2,0,"H",1.42,5.15,7.98,"2-0","4-0",13,6,14,2,0,2,0,0,3,6,3,14,4,9,17,"3-6","Y","Y","Y",2,0,"Lazio-Spezia",187,4,75,20,0,80,180,1500,36,300,675,1683,720
