"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","seriea_goalmins","n","seriea_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"10","I1","2022-08-15","Juventus","Sassuolo",3,0,"H",2,0,"H",1.5,4.83,6.61,"2-0","3-0",14,4,19,7,1,3,0,0,3,2,7,5,3,5,12,"3-2","Y","Y","N",4,0,"Juventus-Sassuolo",120,3,0,40,300,120,200,0,15,0,0,600,600
"20","I1","2022-08-22","Sampdoria","Juventus",0,0,"D",0,0,"D",6.12,4.1,1.62,"0-0","0-0",10,1,10,4,3,2,0,0,3,4,8,14,0,7,22,"3-4","N","N","N",5,0,"Sampdoria-Juventus",0,0,0,50,600,0,350,0,0,0,0,0,0
"24","I1","2022-08-27","Juventus","Roma",1,1,"D",1,0,"H",2.49,3.23,3.22,"1-0","1-1",14,3,8,4,2,2,0,0,4,5,16,7,2,9,23,"4-5","Y","N","N",4,0,"Juventus-Roma",71,2,0,40,400,80,360,0,18,0,0,639,720
"37","I1","2022-08-31","Juventus","Spezia",2,0,"H",1,0,"H",1.29,5.91,11.23,"1-0","2-0",15,3,9,0,0,2,0,0,7,3,1,4,2,10,5,"7-3","Y","N","N",2,0,"Juventus-Spezia",99,2,0,20,0,40,200,0,20,0,0,990,400
"41","I1","2022-09-03","Fiorentina","Juventus",1,1,"D",1,1,"D",3.17,3.27,2.49,"1-1","1-1",17,5,4,1,1,3,0,0,10,2,13,12,2,12,25,"10-2","Y","N","N",4,0,"Fiorentina-Juventus",38,2,0,40,300,80,480,0,24,0,0,456,960
"59","I1","2022-09-11","Juventus","Salernitana",2,2,"D",0,2,"A",1.44,4.86,8.08,"0-2","2-2",22,7,11,5,5,4,2,1,8,2,13,15,4,10,28,"8-2","Y","Y","Y",9,3,"Juventus-Salernitana",204,4,0,165,6500,660,1650,0,40,0,0,2040,6600
"68","I1","2022-09-18","Monza","Juventus",1,0,"H",0,0,"D",4.62,3.73,1.85,"0-0","1-0",17,4,10,2,2,1,0,1,5,3,16,17,1,8,33,"5-3","N","N","N",3,1,"Monza-Juventus",74,1,0,55,700,55,440,0,8,0,0,592,440
"79","I1","2022-10-02","Juventus","Bologna",3,0,"H",1,0,"H",1.53,4.43,6.79,"1-0","3-0",17,6,9,1,0,1,0,0,2,4,11,15,3,6,26,"2-4","Y","Y","N",1,0,"Juventus-Bologna",145,3,0,10,0,30,60,0,18,0,0,870,180
"82","I1","2022-10-08","Milan","Juventus",2,0,"H",1,0,"H",2.11,3.46,3.84,"1-0","2-0",21,3,10,3,2,3,0,0,9,3,7,7,2,12,14,"9-3","Y","N","N",5,0,"Milan-Juventus",99,2,0,50,600,100,600,0,24,0,0,1188,1200
"92","I1","2022-10-15","Torino","Juventus",0,1,"A",0,0,"D",3.13,3.19,2.57,"0-0","0-1",15,2,14,8,2,0,0,0,3,6,11,8,1,9,19,"3-6","N","N","N",2,0,"Torino-Juventus",74,1,0,20,0,20,180,0,9,0,0,666,180
