"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","seriea_goalmins","n","seriea_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"1","I1","2022-08-13","Milan","Udinese",4,2,"H",2,2,"D",1.43,4.66,8.84,"2-2","4-2",14,5,9,4,1,4,0,0,5,1,16,13,6,6,29,"5-1","Y","Y","Y",5,0,"Milan-Udinese",185,5,56,50,400,300,300,2800,36,336,336,1110,1800
"17","I1","2022-08-21","Atalanta","Milan",1,1,"D",1,0,"H",2.87,3.61,2.52,"1-0","1-1",11,2,18,7,4,3,0,0,4,6,15,6,2,10,21,"4-6","Y","N","N",7,0,"Atalanta-Milan",97,2,22,70,1200,140,700,1540,20,44,220,970,1400
"25","I1","2022-08-27","Milan","Bologna",2,0,"H",1,0,"H",1.37,5.59,8.58,"1-0","2-0",19,7,8,0,2,1,0,0,5,1,13,9,2,6,22,"5-1","Y","N","N",3,0,"Milan-Bologna",79,2,26,30,200,60,180,780,12,52,156,474,360
"31","I1","2022-08-30","Sassuolo","Milan",0,0,"D",0,0,"D",5.47,4.29,1.64,"0-0","0-0",8,3,10,2,5,2,0,0,3,8,14,13,0,11,27,"3-8","N","N","N",7,0,"Sassuolo-Milan",0,0,0,70,1000,0,770,0,0,0,0,0,0
"42","I1","2022-09-03","Milan","Inter",3,2,"H",1,1,"D",2.91,3.3,2.67,"1-1","3-2",21,5,16,5,5,2,0,0,2,5,10,12,5,7,22,"2-5","Y","Y","Y",7,0,"Milan-Inter",230,5,129,70,1000,350,490,9030,35,645,903,1610,2450
"53","I1","2022-09-10","Sampdoria","Milan",1,2,"A",0,1,"A",6.6,4.51,1.53,"0-1","1-2",10,4,15,4,5,2,0,1,2,4,12,10,3,6,22,"2-4","Y","Y","N",7,1,"Sampdoria-Milan",130,3,46,95,2250,285,570,4370,18,138,276,780,1710
"70","I1","2022-09-18","Milan","Napoli",1,2,"A",0,0,"D",2.18,3.57,3.54,"0-0","1-2",22,5,9,4,4,3,0,0,9,4,18,11,3,13,29,"9-4","Y","Y","N",7,0,"Milan-Napoli",202,3,0,70,1200,210,910,0,39,0,0,2626,2730
"73","I1","2022-10-01","Empoli","Milan",1,3,"A",0,0,"D",5.65,4.24,1.63,"0-0","1-3",16,4,19,6,4,2,0,0,3,7,15,10,4,10,25,"3-7","Y","Y","Y",6,0,"Empoli-Milan",349,4,44,60,800,240,600,2640,40,176,440,3490,2400
"82","I1","2022-10-08","Milan","Juventus",2,0,"H",1,0,"H",2.11,3.46,3.84,"1-0","2-0",21,3,10,3,2,3,0,0,9,3,7,7,2,12,14,"9-3","Y","N","N",5,0,"Milan-Juventus",99,2,0,50,600,100,600,0,24,0,0,1188,1200
"98","I1","2022-10-16","Verona","Milan",1,2,"A",1,1,"D",6.38,4.26,1.58,"1-1","1-2",19,5,16,6,3,2,0,0,9,3,7,9,3,12,16,"9-3","Y","Y","N",5,0,"Verona-Milan",109,3,33,50,600,150,600,1650,36,99,396,1308,1800
"103","I1","2022-10-22","Milan","Monza",4,1,"H",2,0,"H",1.42,4.98,8.24,"2-0","4-1",12,7,16,6,1,1,0,0,2,2,18,9,5,4,27,"2-2","Y","Y","Y",2,0,"Milan-Monza",276,5,0,20,100,100,80,0,20,0,0,1104,400
"118","I1","2022-10-30","Torino","Milan",2,1,"H",2,0,"H",3.74,3.41,2.16,"2-0","2-1",7,4,12,1,5,2,0,0,6,1,11,16,3,7,27,"6-1","Y","Y","N",7,0,"Torino-Milan",139,3,115,70,1000,210,490,8050,21,345,805,973,1470
"125","I1","2022-11-05","Milan","Spezia",2,1,"H",1,0,"H",1.22,6.78,15.73,"1-0","2-1",23,11,13,5,6,4,1,0,3,6,12,13,3,9,25,"3-6","Y","Y","N",10,1,"Milan-Spezia",169,3,58,125,3400,375,1125,7250,27,174,522,1521,3375
"133","I1","2022-11-08","Cremonese","Milan",0,0,"D",0,0,"D",6.23,4.2,1.6,"0-0","0-0",6,1,16,5,4,3,0,0,2,4,16,10,0,6,26,"2-4","N","N","N",7,0,"Cremonese-Milan",0,0,0,70,1200,0,420,0,0,0,0,0,0
"149","I1","2022-11-13","Milan","Fiorentina",2,1,"H",1,1,"D",1.73,3.94,5.18,"1-1","2-1",12,3,11,5,1,4,0,0,5,7,13,11,3,12,24,"5-7","Y","Y","N",5,0,"Milan-Fiorentina",120,3,93,50,400,150,600,4650,36,279,1116,1440,1800
"151","I1","2023-01-04","Salernitana","Milan",1,2,"A",0,2,"A",6.95,4.56,1.51,"0-2","1-2",8,1,16,10,4,1,0,0,6,2,21,13,3,8,34,"6-2","Y","Y","N",5,0,"Salernitana-Milan",108,3,34,50,400,150,400,1700,24,102,272,864,1200
"168","I1","2023-01-08","Milan","Roma",2,2,"D",1,0,"H",1.89,3.66,4.5,"1-0","2-2",12,5,12,3,4,7,0,0,3,4,19,13,4,7,32,"3-4","Y","Y","Y",11,0,"Milan-Roma",284,4,64,110,2800,440,770,7040,28,256,448,1988,3080
"173","I1","2023-01-14","Lecce","Milan",2,2,"D",2,0,"H",6.08,4.01,1.64,"2-0","2-2",17,3,12,5,1,2,0,0,8,4,11,12,4,12,23,"8-4","Y","Y","Y",3,0,"Lecce-Milan",154,4,44,30,200,120,360,1320,48,176,528,1848,1440
"190","I1","2023-01-24","Lazio","Milan",4,0,"H",2,0,"H",3.18,3.37,2.28,"2-0","4-0",10,5,10,3,1,2,0,0,3,4,14,11,4,7,25,"3-4","Y","Y","Y",3,0,"Lazio-Milan",184,4,58,30,200,120,210,1740,28,232,406,1288,840
"196","I1","2023-01-29","Milan","Sassuolo",2,5,"A",1,3,"A",1.5,4.88,6.45,"1-3","2-5",10,5,9,7,7,4,0,0,2,3,13,8,7,5,21,"2-3","Y","Y","Y",11,0,"Milan-Sassuolo",301,7,206,110,2800,770,550,22660,35,1442,1030,1505,3850
