"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"6282","SC2",2024-03-02,"Kelty Hearts","Hamilton",0,5,"A",0,3,"A",5.61,4.24,1.56,"0-3","0-5",6,3,13,8,1,0,0,0,4,6,9,10,5,10,19,"4-6","Y","Y","Y",1,0,5,10,0,50,100,50,500
"6286","SC2",2024-03-09,"Alloa","Kelty Hearts",3,0,"H",1,0,"H",1.83,3.89,3.94,"1-0","3-0",17,9,5,1,0,2,0,0,9,2,3,7,3,11,10,"9-2","Y","Y","N",2,0,3,20,0,60,220,33,660
"6293","SC2",2024-03-16,"Kelty Hearts","Cove Rangers",0,1,"A",0,0,"D",3.04,3.56,2.24,"0-0","0-1",11,3,5,2,1,2,0,0,3,6,7,9,1,9,16,"3-6","N","N","N",3,0,1,30,200,30,270,9,270
"6296","SC2",2024-03-19,"Kelty Hearts","Alloa",2,1,"H",0,0,"D",3.7,3.81,1.9,"0-0","2-1",17,7,3,1,1,2,0,0,4,8,8,15,3,12,23,"4-8","Y","Y","N",3,0,3,30,200,90,360,36,1080
"6298","SC2",2024-03-23,"Annan Athletic","Kelty Hearts",3,2,"H",3,1,"H",2.1,3.63,3.2,"3-1","3-2",8,6,10,4,0,2,0,1,2,6,15,8,5,8,23,"2-6","Y","Y","Y",2,1,5,45,0,225,360,40,1800
"6305","SC2",2024-03-30,"Kelty Hearts","Edinburgh City",3,1,"H",1,1,"D",1.33,5.42,8.05,"1-1","3-1",10,6,10,2,0,1,0,0,5,3,9,13,4,8,22,"5-3","Y","Y","Y",1,0,4,10,0,40,80,32,320
"6279","SC2",2024-02-27,"Stirling","Hamilton",0,0,"D",0,0,"D",5.72,4.32,1.54,"0-0","0-0",7,4,13,3,2,2,0,0,4,8,12,13,0,12,25,"4-8","N","N","N",4,0,0,40,400,0,480,0,0
"6284","SC2",2024-03-02,"Queen of Sth","Stirling",2,2,"D",1,1,"D",2.36,3.43,2.93,"1-1","2-2",7,3,6,4,4,4,0,0,7,7,12,13,4,14,25,"7-7","Y","Y","Y",8,0,4,80,1600,320,1120,56,4480
"6290","SC2",2024-03-09,"Stirling","Falkirk",1,2,"A",1,1,"D",8,5.01,1.37,"1-1","1-2",11,3,12,7,2,2,0,0,2,9,13,8,3,11,21,"2-9","Y","Y","N",4,0,3,40,400,120,440,33,1320
"6292","SC2",2024-03-16,"Hamilton","Stirling",3,0,"H",1,0,"H",1.37,5.23,7.43,"1-0","3-0",13,6,8,3,0,0,0,0,4,3,8,10,3,7,18,"4-3","Y","Y","N",0,0,3,0,0,0,0,21,0
"6301","SC2",2024-03-23,"Stirling","Montrose",1,0,"H",0,0,"D",2.52,3.38,2.7,"0-0","1-0",11,5,4,1,2,1,0,0,5,5,7,8,1,10,15,"5-5","N","N","N",3,0,1,30,200,30,300,10,300
"6303","SC2",2024-03-30,"Cove Rangers","Stirling",4,2,"H",2,1,"H",2.06,3.94,3.07,"2-1","4-2",5,3,5,4,2,3,0,0,7,1,8,7,6,8,15,"7-1","Y","Y","Y",5,0,6,50,600,300,400,48,2400
"13","SC2",2024-03-30,"Cove Rangers","Stirling",4,2,"H",2,1,"H",2.06,3.94,3.07,"2-1","4-2",5,3,5,4,2,3,0,0,7,1,8,7,6,8,15,"7-1","Y","Y","Y",5,0,3.16666666666667,32.0833333333333,300,105.416666666667,344.166666666667,30.6666666666667,1094.16666666667
