"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"5537","SC2",2024-02-03,"Edinburgh City","Kelty Hearts",0,3,"A",0,1,"A",9.67,6.62,1.23,"0-1","0-3",11,0,14,7,1,2,0,0,0,6,14,8,3,6,22,"0-6","Y","Y","N",3,0,3,30,200,90,180,18,540
"5543","SC2",2024-02-10,"Kelty Hearts","Queen of Sth",0,0,"D",0,0,"D",2.52,3.41,2.67,"0-0","0-0",4,1,9,4,3,2,0,0,8,6,13,15,0,14,28,"8-6","N","N","N",5,0,0,50,600,0,700,0,0
"5546","SC2",2024-02-13,"Kelty Hearts","Edinburgh City",3,2,"H",1,1,"D",1.12,9.47,16.13,"1-1","3-2",15,5,14,4,2,4,0,0,6,2,10,17,5,8,27,"6-2","Y","Y","Y",6,0,5,60,800,300,480,40,2400
"5551","SC2",2024-02-17,"Montrose","Kelty Hearts",4,2,"H",2,0,"H",2.2,3.53,3.13,"2-0","4-2",13,5,11,4,1,1,0,0,7,3,14,7,6,10,21,"7-3","Y","Y","Y",2,0,6,20,100,120,200,60,1200
"5555","SC2",2024-02-24,"Kelty Hearts","Falkirk",0,1,"A",0,1,"A",8.54,5.38,1.33,"0-1","0-1",4,2,12,7,3,2,1,0,5,16,13,14,1,21,27,"5-16","N","N","N",5,1,1,75,1100,75,1575,21,1575
"5561","SC2",2024-03-02,"Kelty Hearts","Hamilton",0,5,"A",0,3,"A",5.61,4.24,1.56,"0-3","0-5",6,3,13,8,1,0,0,0,4,6,9,10,5,10,19,"4-6","Y","Y","Y",1,0,5,10,0,50,100,50,500
"5536","SC2",2024-02-03,"Annan Athletic","Alloa",2,3,"A",1,2,"A",2.78,3.68,2.31,"1-2","2-3",9,4,13,7,3,4,0,0,5,3,12,15,5,8,27,"5-3","Y","Y","Y",7,0,5,70,1200,350,560,40,2800
"5542","SC2",2024-02-10,"Hamilton","Annan Athletic",2,3,"A",0,1,"A",1.23,6.18,10.75,"0-1","2-3",19,7,8,4,4,3,0,0,9,6,13,7,5,15,20,"9-6","Y","Y","Y",7,0,5,70,1200,350,1050,75,5250
"5545","SC2",2024-02-13,"Alloa","Annan Athletic",2,1,"H",1,0,"H",1.95,3.89,3.38,"1-0","2-1",11,7,11,9,3,2,0,0,5,6,11,10,3,11,21,"5-6","Y","Y","N",5,0,3,50,600,150,550,33,1650
"5548","SC2",2024-02-17,"Annan Athletic","Stirling",2,1,"H",1,1,"D",2.91,3.37,2.4,"1-1","2-1",12,5,5,3,1,0,0,0,8,5,9,12,3,13,21,"8-5","Y","Y","N",1,0,3,10,0,30,130,39,390
"5553","SC2",2024-02-24,"Cove Rangers","Annan Athletic",2,1,"H",1,0,"H",1.62,4.68,4.4,"1-0","2-1",10,4,6,3,1,2,0,0,3,9,6,8,3,12,14,"3-9","Y","Y","N",3,0,3,30,200,90,360,36,1080
"5560","SC2",2024-03-02,"Falkirk","Annan Athletic",1,1,"D",0,0,"D",1.14,8.84,16.06,"0-0","1-1",19,6,5,3,1,2,0,0,13,1,11,10,2,14,21,"13-1","Y","N","N",3,0,2,30,200,60,420,28,840
"13","SC2",2024-03-02,"Falkirk","Annan Athletic",1,1,"D",0,0,"D",1.14,8.84,16.06,"0-0","1-1",19,6,5,3,1,2,0,0,13,1,11,10,2,14,21,"13-1","Y","N","N",3,0,3.41666666666667,42.0833333333333,516.666666666667,138.75,525.416666666667,36.6666666666667,1518.75
