"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","n","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","GoalsXcorners","GoalsXcornerXbookings"
"5299","SC2",2024-01-27,"Stirling","Kelty Hearts",5,0,"H",1,0,"H",2.4,3.35,2.86,"1-0","5-0",13,9,8,5,1,2,0,1,5,7,8,12,5,12,20,"5-7","Y","Y","Y",3,1,5,55,450,275,660,60,3300
"5301","SC2",2024-02-03,"Edinburgh City","Kelty Hearts",0,3,"A",0,1,"A",9.67,6.62,1.23,"0-1","0-3",11,0,14,7,1,2,0,0,0,6,14,8,3,6,22,"0-6","Y","Y","N",3,0,3,30,200,90,180,18,540
"5307","SC2",2024-02-10,"Kelty Hearts","Queen of Sth",0,0,"D",0,0,"D",2.52,3.41,2.67,"0-0","0-0",4,1,9,4,3,2,0,0,8,6,13,15,0,14,28,"8-6","N","N","N",5,0,0,50,600,0,700,0,0
"5310","SC2",2024-02-13,"Kelty Hearts","Edinburgh City",3,2,"H",1,1,"D",1.12,9.47,16.13,"1-1","3-2",15,5,14,4,2,4,0,0,6,2,10,17,5,8,27,"6-2","Y","Y","Y",6,0,5,60,800,300,480,40,2400
"5315","SC2",2024-02-17,"Montrose","Kelty Hearts",4,2,"H",2,0,"H",2.2,3.53,3.13,"2-0","4-2",13,5,11,4,1,1,0,0,7,3,14,7,6,10,21,"7-3","Y","Y","Y",2,0,6,20,100,120,200,60,1200
"5319","SC2",2024-02-24,"Kelty Hearts","Falkirk",0,1,"A",0,1,"A",8.54,5.38,1.33,"0-1","0-1",4,2,12,7,3,2,1,0,5,16,13,14,1,21,27,"5-16","N","N","N",5,1,1,75,1100,75,1575,21,1575
"5290","SC2",2024-01-13,"Hamilton","Cove Rangers",2,0,"H",1,0,"H",1.56,4.17,5.46,"1-0","2-0",10,5,17,5,1,0,1,1,1,2,12,9,2,3,21,"1-2","Y","N","N",1,2,2,60,875,120,180,6,360
"5298","SC2",2024-01-27,"Hamilton","Montrose",1,1,"D",1,0,"H",1.29,5.59,8.97,"1-0","1-1",5,3,3,2,0,2,0,0,8,3,1,11,2,11,12,"8-3","Y","N","N",2,0,2,20,0,40,220,22,440
"5302","SC2",2024-02-03,"Queen of Sth","Hamilton",0,2,"A",0,0,"D",6.01,4.3,1.5,"0-0","0-2",10,2,13,5,0,1,0,0,2,6,11,4,2,8,15,"2-6","Y","N","N",1,0,2,10,0,20,80,16,160
"5306","SC2",2024-02-10,"Hamilton","Annan Athletic",2,3,"A",0,1,"A",1.23,6.18,10.75,"0-1","2-3",19,7,8,4,4,3,0,0,9,6,13,7,5,15,20,"9-6","Y","Y","Y",7,0,5,70,1200,350,1050,75,5250
"5314","SC2",2024-02-17,"Falkirk","Hamilton",3,2,"H",3,1,"H",1.74,3.75,4.61,"3-1","3-2",13,7,13,7,0,3,0,0,2,10,9,10,5,12,19,"2-10","Y","Y","Y",3,0,5,30,0,150,360,60,1800
"5318","SC2",2024-02-24,"Hamilton","Alloa",1,2,"A",0,0,"D",1.35,5.03,8.47,"0-0","1-2",18,9,13,5,0,0,0,0,8,8,5,9,3,16,14,"8-8","Y","Y","N",0,0,3,0,0,0,0,48,0
"13","SC2",2024-02-24,"Hamilton","Alloa",1,2,"A",0,0,"D",1.35,5.03,8.47,"0-0","1-2",18,9,13,5,0,0,0,0,8,8,5,9,3,16,14,"8-8","Y","Y","N",0,0,3.25,40,443.75,128.333333333333,473.75,35.5,1418.75
