"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","epl_goalmins","n","epl_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"3","E0","2022-08-06","Bournemouth","Aston Villa",2,0,"H",1,0,"H",3.93,3.58,2.04,"1-0","2-0",7,3,15,2,3,3,0,0,5,5,18,16,2,10,34,"5-5","Y","N","N",6,0,"Bournemouth-Aston Villa",82,2,0,60,900,120,600,0,20,0,0,820,1200
"14","E0","2022-08-13","Man City","Bournemouth",4,0,"H",3,0,"H",1.07,13.82,41,"3-0","4-0",19,7,3,1,0,3,0,0,11,1,9,9,4,12,18,"11-1","Y","Y","Y",3,0,"Man City-Bournemouth",166,4,80,30,0,120,360,2400,48,320,960,1992,1440
"26","E0","2022-08-20","Bournemouth","Arsenal",0,3,"A",0,2,"A",7.55,4.8,1.46,"0-2","0-3",6,1,14,6,2,1,0,0,3,4,12,10,3,7,22,"3-4","Y","Y","N",3,0,"Bournemouth-Arsenal",70,3,28,30,200,90,210,840,21,84,196,490,630
"35","E0","2022-08-27","Liverpool","Bournemouth",9,0,"H",5,0,"H",1.13,10.48,23.11,"5-0","9-0",19,12,5,2,0,1,0,0,8,1,6,5,9,9,11,"8-1","Y","Y","Y",1,0,"Liverpool-Bournemouth",386,9,187,10,0,90,90,1870,81,1683,1683,3474,810
"46","E0","2022-08-31","Bournemouth","Wolves",0,0,"D",0,0,"D",3.52,3.43,2.24,"0-0","0-0",5,2,17,4,2,1,0,0,2,5,12,12,0,7,24,"2-5","N","N","N",3,0,"Bournemouth-Wolves",0,0,0,30,200,0,210,0,0,0,0,0,0
"55","E0","2022-09-03","Nottm Forest","Bournemouth",2,3,"A",2,0,"H",2.05,3.51,4,"2-0","2-3",11,3,8,3,2,1,0,0,4,6,13,10,5,10,23,"4-6","Y","Y","Y",3,0,"Nottm Forest-Bournemouth",279,5,0,30,200,150,300,0,50,0,0,2790,1500
"64","E0","2022-09-17","Newcastle","Bournemouth",1,1,"D",0,0,"D",1.49,4.56,7.5,"0-0","1-1",20,7,10,3,2,2,0,0,8,1,10,11,2,9,21,"8-1","Y","N","N",4,0,"Newcastle-Bournemouth",129,2,43,40,400,80,360,1720,18,86,387,1161,720
"69","E0","2022-10-01","Bournemouth","Brentford",0,0,"D",0,0,"D",3.45,3.49,2.25,"0-0","0-0",7,1,13,4,1,2,0,0,7,8,11,10,0,15,21,"7-8","N","N","N",3,0,"Bournemouth-Brentford",0,0,0,30,200,0,450,0,0,0,0,0,0
"78","E0","2022-10-08","Bournemouth","Leicester",2,1,"H",0,1,"A",3.64,3.7,2.09,"0-1","2-1",10,4,9,5,1,2,0,0,7,2,8,16,3,9,24,"7-2","Y","Y","N",3,0,"Bournemouth-Leicester",149,3,59,30,200,90,270,1770,27,177,531,1341,810
"90","E0","2022-10-15","Fulham","Bournemouth",2,2,"D",1,2,"A",1.92,3.77,4.23,"1-2","2-2",19,4,10,6,2,0,0,0,5,6,9,11,4,11,20,"5-6","Y","Y","Y",2,0,"Fulham-Bournemouth",105,4,57,20,0,80,220,1140,44,228,627,1155,880
