"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","epl_goalmins","n","epl_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"6","E0","2022-08-06","Tottenham","Southampton",4,1,"H",2,1,"H",1.37,5.39,9.11,"2-1","4-1",18,8,10,2,3,0,0,0,10,2,11,6,5,12,17,"10-2","Y","Y","Y",3,0,"Tottenham-Southampton",188,5,0,30,0,150,360,0,60,0,0,2256,1800
"15","E0","2022-08-13","Southampton","Leeds",2,2,"D",0,0,"D",2.34,3.55,3.18,"0-0","2-2",14,4,13,5,1,3,0,0,2,5,10,12,4,7,22,"2-5","Y","Y","Y",4,0,"Southampton-Leeds",259,4,47,40,300,160,280,1880,28,188,329,1813,1120
"25","E0","2022-08-20","Leicester","Southampton",1,2,"A",0,0,"D",1.86,4.09,4.12,"0-0","1-2",6,1,9,3,2,3,0,0,2,5,11,15,3,7,26,"2-5","Y","Y","N",5,0,"Leicester-Southampton",206,3,30,50,600,150,350,1500,21,90,210,1442,1050
"31","E0","2022-08-27","Southampton","Man United",0,1,"A",0,0,"D",4.31,4,1.85,"0-0","0-1",17,5,11,6,0,3,0,0,5,3,4,14,1,8,18,"5-3","N","N","N",3,0,"Southampton-Man United",55,1,8,30,0,30,240,240,8,8,64,440,240
"43","E0","2022-08-30","Southampton","Chelsea",2,1,"H",2,1,"H",5.28,4.24,1.67,"2-1","2-1",9,7,10,4,2,1,0,0,5,3,15,10,3,8,25,"5-3","Y","Y","N",3,0,"Southampton-Chelsea",96,3,71,30,200,90,240,2130,24,213,568,768,720
"57","E0","2022-09-03","Wolves","Southampton",1,0,"H",1,0,"H",2.3,3.41,3.41,"1-0","1-0",7,2,12,1,4,2,0,0,5,6,10,14,1,11,24,"5-6","N","N","N",6,0,"Wolves-Southampton",45,1,10,60,800,60,660,600,11,10,110,495,660
"61","E0","2022-09-16","Aston Villa","Southampton",1,0,"H",1,0,"H",2.14,3.62,3.6,"1-0","1-0",11,3,7,1,3,1,0,0,6,3,13,13,1,9,26,"6-3","N","N","N",4,0,"Aston Villa-Southampton",41,1,0,40,300,40,360,0,9,0,0,369,360
"73","E0","2022-10-01","Southampton","Everton",1,2,"A",0,0,"D",2.23,3.48,3.49,"0-0","1-2",22,6,12,5,2,2,0,0,7,6,11,10,3,13,21,"7-6","Y","Y","N",4,0,"Southampton-Everton",155,3,44,40,400,120,520,1760,39,132,572,2015,1560
"80","E0","2022-10-08","Man City","Southampton",4,0,"H",2,0,"H",1.13,10.77,20.4,"2-0","4-0",21,8,5,0,0,1,0,0,9,1,4,8,4,10,12,"9-1","Y","Y","Y",1,0,"Man City-Southampton",166,4,89,10,0,40,100,890,40,356,890,1660,400
"96","E0","2022-10-16","Southampton","West Ham",1,1,"D",1,0,"H",3.08,3.42,2.47,"1-0","1-1",10,8,25,4,1,1,0,0,4,14,7,3,2,18,10,"4-14","Y","N","N",2,0,"Southampton-West Ham",84,2,56,20,100,40,360,1120,36,112,1008,1512,720
