"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","epl_goalmins","n","epl_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"10","E0","2022-08-07","West Ham","Man City",0,2,"A",0,1,"A",8.58,5.48,1.38,"0-1","0-2",6,1,14,2,0,1,0,0,1,4,8,4,2,5,12,"1-4","Y","N","N",1,0,"West Ham-Man City",101,2,18,10,0,20,50,180,10,36,90,505,100
"14","E0","2022-08-13","Man City","Bournemouth",4,0,"H",3,0,"H",1.07,13.82,41,"3-0","4-0",19,7,3,1,0,3,0,0,11,1,9,9,4,12,18,"11-1","Y","Y","Y",3,0,"Man City-Bournemouth",166,4,80,30,0,120,360,2400,48,320,960,1992,1440
"29","E0","2022-08-21","Newcastle","Man City",3,3,"D",2,1,"H",9.43,5.22,1.37,"2-1","3-3",12,6,21,10,4,2,0,0,5,5,14,7,6,10,21,"5-5","Y","Y","Y",6,0,"Newcastle-Man City",251,6,72,60,800,360,600,4320,60,432,720,2510,3600
"36","E0","2022-08-27","Man City","Crystal Palace",4,2,"H",0,2,"A",1.2,7.5,16.26,"0-2","4-2",18,5,2,2,1,2,0,0,6,1,14,8,6,7,22,"6-1","Y","Y","Y",3,0,"Man City-Crystal Palace",291,6,68,30,200,180,210,2040,42,408,476,2037,1260
"47","E0","2022-08-31","Man City","Nottm Forest",6,0,"H",3,0,"H",1.08,13.43,31.06,"3-0","6-0",17,9,8,1,0,1,0,0,10,1,9,7,6,11,16,"10-1","Y","Y","Y",1,0,"Man City-Nottm Forest",275,6,0,10,0,60,110,0,66,0,0,3025,660
"58","E0","2022-09-03","Aston Villa","Man City",1,1,"D",0,0,"D",9.25,5.98,1.33,"0-0","1-1",3,1,13,4,2,0,0,0,1,4,7,6,2,5,13,"1-4","Y","N","N",2,0,"Aston Villa-Man City",124,2,0,20,0,40,100,0,10,0,0,620,200
"63","E0","2022-09-17","Wolves","Man City",0,3,"A",0,2,"A",9.3,5.52,1.36,"0-2","0-3",6,1,16,7,2,1,1,0,5,7,7,9,3,12,16,"5-7","Y","Y","N",3,1,"Wolves-Man City",86,3,66,55,450,165,660,3630,36,198,792,1032,1980
"75","E0","2022-10-02","Man City","Man United",6,3,"H",4,0,"H",1.37,5.91,7.74,"4-0","6-3",22,10,12,8,0,3,0,0,5,1,3,9,9,6,12,"5-1","Y","Y","Y",3,0,"Man City-Man United",490,9,207,30,0,270,180,6210,54,1863,1242,2940,1620
"80","E0","2022-10-08","Man City","Southampton",4,0,"H",2,0,"H",1.13,10.77,20.4,"2-0","4-0",21,8,5,0,0,1,0,0,9,1,4,8,4,10,12,"9-1","Y","Y","Y",1,0,"Man City-Southampton",166,4,89,10,0,40,100,890,40,356,890,1660,400
"97","E0","2022-10-16","Liverpool","Man City",1,0,"H",0,0,"D",4,4.11,1.88,"0-0","1-0",13,2,16,6,3,1,0,0,5,6,10,7,1,11,17,"5-6","N","N","N",4,0,"Liverpool-Man City",76,1,11,40,300,40,440,440,11,11,121,836,440
