"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","laliga_goalmins","n","laliga_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"51","SP1","2022-09-16","Valladolid","Cadiz",0,1,"A",0,0,"D",2.05,3.24,4.42,"0-0","0-1",18,6,7,1,1,4,0,0,8,2,12,19,1,10,31,"8-2","N","N","N",5,0,"Valladolid-Cadiz",0,0,0,50,400,50,500,0,10,0,0,0,500
"62","SP1","2022-10-01","Cadiz","Villarreal",0,0,"D",0,0,"D",5.82,4.1,1.64,"0-0","0-0",10,2,14,6,2,3,1,0,6,5,13,8,0,11,21,"6-5","N","N","N",5,1,"Cadiz-Villarreal",0,0,0,75,1350,0,825,0,0,0,0,0,0
"77","SP1","2022-10-09","Cadiz","Espanol",2,2,"D",1,0,"H",3.02,3.12,2.7,"1-0","2-2",8,3,9,6,4,4,0,0,8,3,13,12,4,11,25,"8-3","Y","Y","Y",8,0,"Cadiz-Espanol",237,4,65,80,1600,320,880,5200,44,260,715,2607,3520
"821","SP1","2022-10-15","Girona","Cadiz",1,1,"D",0,0,"D",1.97,3.22,4.9,"0-0","1-1",23,6,9,2,5,4,0,0,6,2,16,9,2,8,25,"6-2","Y","N","N",9,0,"Girona-Cadiz",136,2,15,90,2000,180,720,1350,16,30,120,1088,1440
"94","SP1","2022-10-19","Cadiz","Betis",0,0,"D",0,0,"D",3.84,3.33,2.16,"0-0","0-0",13,3,12,3,1,2,0,1,4,9,15,7,0,13,22,"4-9","N","N","N",3,1,"Cadiz-Betis",0,0,0,55,450,0,715,0,0,0,0,0,0
"101","SP1","2022-10-22","Vallecano","Cadiz",5,1,"H",2,0,"H",1.76,3.64,5.52,"2-0","5-1",28,11,3,0,1,4,1,2,10,1,13,12,6,11,25,"10-1","Y","Y","Y",5,3,"Vallecano-Cadiz",402,6,117,125,3150,750,1375,14625,66,702,1287,4422,8250
"113","SP1","2022-10-29","Cadiz","Ath Madrid",3,2,"H",1,0,"H",7.07,3.8,1.61,"1-0","3-2",10,7,15,7,2,4,0,0,5,3,15,12,5,8,27,"5-3","Y","Y","Y",6,0,"Cadiz-Ath Madrid",346,5,39,60,800,300,480,2340,40,195,312,2768,2400
"122","SP1","2022-11-05","Getafe","Cadiz",0,0,"D",0,0,"D",2.24,3.1,3.94,"0-0","0-0",13,2,15,4,5,2,2,1,5,5,15,16,0,10,31,"5-5","N","N","N",7,3,"Getafe-Cadiz",0,0,0,145,4500,0,1450,0,0,0,0,0,0
"140","SP1","2022-11-10","Real Madrid","Cadiz",2,1,"H",1,0,"H",1.15,9,22.56,"1-0","2-1",18,5,10,5,3,3,0,0,7,1,12,16,3,8,28,"7-1","Y","Y","N",6,0,"Real Madrid-Cadiz",191,3,26,60,900,180,480,1560,24,78,208,1528,1440
"145","SP1","2022-12-30","Cadiz","Almeria",1,1,"D",0,1,"A",2.39,3.23,3.39,"0-1","1-1",12,6,18,9,2,0,0,0,3,2,7,14,2,5,21,"3-2","Y","N","N",2,0,"Cadiz-Almeria",123,2,18,20,0,40,100,360,10,36,90,615,200
"152","SP1","2023-01-06","Valencia","Cadiz",0,1,"A",0,1,"A",1.61,4.15,6.2,"0-1","0-1",11,2,6,2,5,6,0,0,13,2,14,21,1,15,35,"13-2","N","N","N",11,0,"Valencia-Cadiz",9,1,4,110,3000,110,1650,440,15,4,60,135,1650
"168","SP1","2023-01-16","Cadiz","Elche",1,1,"D",1,0,"H",1.97,3.43,4.44,"1-0","1-1",16,3,12,5,3,2,0,0,3,6,11,21,2,9,32,"3-6","Y","N","N",5,0,"Cadiz-Elche",88,2,33,50,600,100,450,1650,18,66,297,792,900
"173","SP1","2023-01-21","Sevilla","Cadiz",1,0,"H",0,0,"D",1.71,3.78,5.65,"0-0","1-0",17,9,4,1,1,4,0,1,8,1,15,14,1,9,29,"8-1","N","N","N",5,1,"Sevilla-Cadiz",89,1,10,75,650,75,675,750,9,10,90,801,675
"180","SP1","2023-01-28","Cadiz","Mallorca",2,0,"H",2,0,"H",2.98,2.82,3.02,"2-0","2-0",11,4,9,2,2,2,0,0,6,2,13,12,2,8,25,"6-2","Y","N","N",4,0,"Cadiz-Mallorca",48,2,18,40,400,80,320,720,16,36,144,384,640
"191","SP1","2023-02-03","Ath Bilbao","Cadiz",4,1,"H",3,1,"H",1.39,4.75,10.29,"3-1","4-1",17,9,15,3,2,1,1,0,0,3,14,12,5,3,26,"0-3","Y","Y","Y",3,1,"Ath Bilbao-Cadiz",189,5,46,55,450,275,165,2530,15,230,138,567,825
"2011","SP1","2023-02-10","Cadiz","Girona",2,0,"H",2,0,"H",3.19,3.2,2.53,"2-0","2-0",12,3,7,1,4,4,0,0,5,6,17,11,2,11,28,"5-6","Y","N","N",8,0,"Cadiz-Girona",40,2,36,80,1600,160,880,2880,22,72,396,440,1760
"219","SP1","2023-02-19","Barcelona","Cadiz",2,0,"H",2,0,"H",1.22,7.16,14.53,"2-0","2-0",16,5,14,4,2,3,0,0,5,6,15,18,2,11,33,"5-6","Y","N","N",5,0,"Barcelona-Cadiz",88,2,29,50,600,100,550,1450,22,58,319,968,1100
"45","SP1","2023-02-19","Barcelona","Cadiz",2,0,"H",2,0,"H",1.22,7.16,14.53,"2-0","2-0",16,5,14,4,2,3,0,0,5,6,15,18,2,11,33,"5-6","Y","N","N",5,0,"Barcelona-Cadiz",138.454545454545,2.59090909090909,31.4318181818182,61.3636363636364,1018.18181818182,148.295454545455,529.204545454545,1821.47727272727,21.1818181818182,128,250.431818181818,1068.43181818182,1209.20454545455
