"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","laliga_goalmins","n","laliga_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"1","SP1","2022-08-12","Osasuna","Sevilla",2,1,"H",1,1,"D",3.38,3.1,2.48,"1-1","2-1",12,5,10,3,5,3,0,0,5,2,16,9,3,7,25,"5-2","Y","Y","N",8,0,"Osasuna-Sevilla",94,3,0,80,1500,240,560,0,21,0,0,658,1680
"13","SP1","2022-08-20","Osasuna","Cadiz",2,0,"H",1,0,"H",1.97,3.27,4.76,"1-0","2-0",16,3,9,2,2,5,0,1,2,2,11,13,2,4,24,"2-2","Y","N","N",7,1,"Osasuna-Cadiz",116,2,0,95,1500,190,380,0,8,0,0,464,760
"22","SP1","2022-08-26","Betis","Osasuna",1,0,"H",1,0,"H",1.82,3.77,4.78,"1-0","1-0",7,1,12,2,0,3,1,0,2,4,9,21,1,6,30,"2-4","N","N","N",3,1,"Betis-Osasuna",34,1,0,55,750,55,330,0,6,0,0,204,330
"36","SP1","2022-09-04","Osasuna","Vallecano",2,1,"H",0,0,"D",2.07,3.09,4.61,"0-0","2-1",13,6,5,3,2,2,0,0,4,0,14,16,3,4,30,"4-0","Y","Y","N",4,0,"Osasuna-Vallecano",219,3,0,40,400,120,160,0,12,0,0,876,480
"50","SP1","2022-09-12","Almeria","Osasuna",0,1,"A",0,1,"A",2.76,3.24,2.85,"0-1","0-1",7,2,15,4,0,2,0,0,5,10,4,9,1,15,13,"5-10","N","N","N",2,0,"Almeria-Osasuna",28,1,0,20,0,20,300,0,15,0,0,420,300
"56","SP1","2022-09-18","Osasuna","Getafe",0,2,"A",0,1,"A",1.88,3.25,5.45,"0-1","0-2",12,4,10,4,7,3,1,1,8,1,15,15,2,9,30,"8-1","Y","N","N",10,2,"Osasuna-Getafe",106,2,0,150,5225,300,1350,0,18,0,0,954,2700
"69","SP1","2022-10-02","Real Madrid","Osasuna",1,1,"D",1,0,"H",1.35,5.63,9.33,"1-0","1-1",22,4,8,2,1,2,0,1,10,2,9,13,2,12,22,"10-2","Y","N","N",3,1,"Real Madrid-Osasuna",92,2,0,55,450,110,660,0,24,0,0,1104,1320
"71","SP1","2022-10-07","Osasuna","Valencia",1,2,"A",0,1,"A",2.46,3.27,3.22,"0-1","1-2",11,2,15,7,3,6,2,1,7,5,11,19,3,12,30,"7-5","Y","Y","N",9,3,"Osasuna-Valencia",172,3,0,165,6800,495,1980,0,36,0,0,2064,5940
"90","SP1","2022-10-17","Villarreal","Osasuna",2,0,"H",1,0,"H",1.58,4.28,6.33,"1-0","2-0",12,9,14,3,2,6,0,0,8,4,14,23,2,12,37,"8-4","Y","N","N",8,0,"Villarreal-Osasuna",94,2,0,80,1200,160,960,0,24,0,0,1128,1920
"99","SP1","2022-10-20","Osasuna","Espanol",1,0,"H",0,0,"D",2.1,3.51,3.82,"0-0","1-0",17,5,5,3,1,2,0,0,9,2,17,15,1,11,32,"9-2","N","N","N",3,0,"Osasuna-Espanol",55,1,0,30,200,30,330,0,11,0,0,605,330
"107","SP1","2022-10-23","Girona","Osasuna",1,1,"D",1,1,"D",2.64,3.24,3,"1-1","1-1",7,1,9,2,2,3,0,0,3,5,11,11,2,8,22,"3-5","Y","N","N",5,0,"Girona-Osasuna",82,2,0,50,600,100,400,0,16,0,0,656,800
"116","SP1","2022-10-30","Osasuna","Valladolid",2,0,"H",2,0,"H",1.93,3.49,4.55,"2-0","2-0",20,10,7,2,1,3,0,0,1,8,14,16,2,9,30,"1-8","Y","N","N",4,0,"Osasuna-Valladolid",0,0,0,40,300,80,360,0,18,0,0,0,720
"124","SP1","2022-11-05","Celta","Osasuna",1,2,"A",1,2,"A",2.19,3.36,3.73,"1-2","1-2",13,5,8,4,1,5,0,0,2,3,12,20,3,5,32,"2-3","Y","Y","N",6,0,"Celta-Osasuna",55,3,0,60,500,180,300,0,15,0,0,275,900
"133","SP1","2022-11-08","Osasuna","Barcelona",1,2,"A",1,0,"H",6.35,4.36,1.56,"1-0","1-2",15,3,9,3,4,4,0,2,2,5,15,6,3,7,21,"2-5","Y","Y","N",8,2,"Osasuna-Barcelona",139,3,0,130,3600,390,910,0,21,0,0,973,2730
"149","SP1","2022-12-31","Sociedad","Osasuna",2,0,"H",1,0,"H",1.92,3.48,4.67,"1-0","2-0",9,2,11,3,1,1,0,0,3,2,10,15,2,5,25,"3-2","Y","N","N",2,0,"Sociedad-Osasuna",86,2,0,20,100,40,100,0,10,0,0,430,200
"160","SP1","2023-01-09","Ath Bilbao","Osasuna",0,0,"D",0,0,"D",1.7,3.65,6.1,"0-0","0-0",17,3,3,1,0,1,0,0,14,1,8,13,0,15,21,"14-1","N","N","N",1,0,"Ath Bilbao-Osasuna",0,0,0,10,0,0,150,0,0,0,0,0,0
"164","SP1","2023-01-14","Osasuna","Mallorca",1,0,"H",0,0,"D",2.11,3.1,4.43,"0-0","1-0",15,4,6,2,2,3,0,0,3,1,15,19,1,4,34,"3-1","N","N","N",5,0,"Osasuna-Mallorca",47,1,0,50,600,50,200,0,4,0,0,188,200
"175","SP1","2023-01-22","Elche","Osasuna",1,1,"D",0,1,"A",3.8,3.26,2.21,"0-1","1-1",13,4,8,4,2,1,0,0,7,2,19,9,2,9,28,"7-2","Y","N","N",3,0,"Elche-Osasuna",87,2,0,30,200,60,270,0,18,0,0,783,540
"185","SP1","2023-01-29","Osasuna","Ath Madrid",0,1,"A",0,0,"D",3.85,3.24,2.2,"0-0","0-1",14,4,13,5,1,0,0,0,5,4,13,7,1,9,20,"5-4","N","N","N",1,0,"Osasuna-Ath Madrid",74,1,0,10,0,10,90,0,9,0,0,666,90
"192","SP1","2023-02-04","Espanol","Osasuna",1,1,"D",0,1,"A",2.69,3.07,3.08,"0-1","1-1",9,4,9,3,3,5,1,1,4,3,9,17,2,7,26,"4-3","Y","N","N",8,2,"Espanol-Osasuna",104,2,0,130,4125,260,910,0,14,0,0,728,1820
"207","SP1","2023-02-12","Valladolid","Osasuna",0,0,"D",0,0,"D",2.86,3.09,2.87,"0-0","0-0",18,5,15,4,1,3,0,0,10,4,13,16,0,14,29,"10-4","N","N","N",4,0,"Valladolid-Osasuna",0,0,0,40,300,0,560,0,0,0,0,0,0
