"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","PSH","PSD","PSA","HTCS","CS","HS","HST","AS","AST","HY","AY","HR","AR","HCO","ACO","HF","AF","TG","TC","TF","COSC","OV15","OV25","OV35","TY","TR","matchid","laliga_goalmins","n","laliga_shirts","Bookings","Crossbookings","GoalsXbookings","CornersXbookings","ShirtsXbookings","GoalsXcorners","GoalsXshirts","ShirtsXcorners","TGMXcorners","GoalsXcornerXbookings"
"3","SP1","2022-08-13","Valladolid","Villarreal",0,3,"A",0,0,"D",4.05,3.78,1.95,"0-0","0-3",12,6,10,4,1,0,0,0,4,5,6,10,3,9,16,"4-5","Y","Y","N",1,0,"Valladolid-Villarreal",0,0,0,10,0,30,90,0,27,0,0,0,270
"17","SP1","2022-08-21","Ath Madrid","Villarreal",0,2,"A",0,0,"D",1.96,3.55,4.3,"0-0","0-2",13,5,19,5,2,3,1,0,5,6,8,11,2,11,19,"5-6","Y","N","N",5,1,"Ath Madrid-Villarreal",163,2,28,75,1350,150,825,2100,22,56,308,1793,1650
"26","SP1","2022-08-28","Getafe","Villarreal",0,0,"D",0,0,"D",4.64,3.43,1.93,"0-0","0-0",8,2,11,6,1,5,0,0,1,4,11,19,0,5,30,"1-4","N","N","N",6,0,"Getafe-Villarreal",0,0,0,60,500,0,300,0,0,0,0,0,0
"38","SP1","2022-09-04","Villarreal","Elche",4,0,"H",2,0,"H",1.37,5.17,9.9,"2-0","4-0",18,10,7,0,1,3,0,0,6,4,10,9,4,10,19,"6-4","Y","Y","Y",4,0,"Villarreal-Elche",241,4,65,40,300,160,400,2600,40,260,650,2410,1600
"49","SP1","2022-09-11","Betis","Villarreal",1,0,"H",0,0,"D",2.95,3.54,2.5,"0-0","1-0",16,5,14,3,1,1,0,0,9,8,11,14,1,17,25,"9-8","N","N","N",2,0,"Betis-Villarreal",61,1,28,20,100,20,340,560,17,28,476,1037,340
"57","SP1","2022-09-18","Villarreal","Sevilla",1,1,"D",0,1,"A",1.72,3.97,5.19,"0-1","1-1",17,7,12,1,1,5,0,0,6,4,15,12,2,10,27,"6-4","Y","N","N",6,0,"Villarreal-Sevilla",59,2,37,60,500,120,600,2220,20,74,370,590,1200
"62","SP1","2022-10-01","Cadiz","Villarreal",0,0,"D",0,0,"D",5.82,4.1,1.64,"0-0","0-0",10,2,14,6,2,3,1,0,6,5,13,8,0,11,21,"6-5","N","N","N",5,1,"Cadiz-Villarreal",0,0,0,75,1350,0,825,0,0,0,0,0,0
"78","SP1","2022-10-09","Sociedad","Villarreal",1,0,"H",1,0,"H",2.64,3.35,2.9,"1-0","1-0",17,5,5,1,5,3,0,0,9,3,21,18,1,12,39,"9-3","N","N","N",8,0,"Sociedad-Villarreal",33,1,23,80,1500,80,960,1840,12,23,276,396,960
"90","SP1","2022-10-17","Villarreal","Osasuna",2,0,"H",1,0,"H",1.58,4.28,6.33,"1-0","2-0",12,9,14,3,2,6,0,0,8,4,14,23,2,12,37,"8-4","Y","N","N",8,0,"Villarreal-Osasuna",94,2,18,80,1200,160,960,1440,24,36,216,1128,1920
"100","SP1","2022-10-20","Barcelona","Villarreal",3,0,"H",3,0,"H",1.5,4.91,6.48,"3-0","3-0",16,5,5,1,0,1,0,0,8,0,18,11,3,8,29,"8-0","Y","Y","N",1,0,"Barcelona-Villarreal",104,3,28,10,0,30,80,280,24,84,224,832,240
